iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.013444444444444446,0.03488428844403901,0.03738538038681253,0.018555555555555554,-0.023,0.101,0.101,9
4,0,1,0.005777777777777778,0.013521815934734489,0.014704496666741852,0.007777777777777778,-0.009,0.032,0.032,9
6,0,1,0.0022222222222222222,0.008256684534737466,0.008550503558920439,0.004888888888888889,-0.012,0.017,0.017,9
8,0,1,-0.002,0.009944289260117532,0.010143416036468626,0.005333333333333333,-0.026,0.015,0.026,9
