iteration,model,layer,depth,velocity
8,1,1,-5.0,4.5
8,1,2,2.2224,4.76512
8,1,3,4.1788,5.76396
8,1,4,5.5308,5.989439999999999
8,1,5,9.3564,6.26204
8,1,6,19.221600000000002,6.5084
8,1,7,22.5216,6.774
8,1,8,26.952800000000003,7.0164
8,1,9,45.0,8.1
