iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
1,0,1,-0.489,-0.074,-0.588,0.463,iteration,True
1,0,2,-0.495,-0.307,0.33,0.391,iteration,True
1,0,3,-0.449,-0.074,-0.185,0.632,iteration,True
1,0,4,-0.515,-0.136,0.579,1.053,iteration,True
1,0,5,-0.429,0.202,-0.385,0.755,iteration,True
1,0,6,-0.542,0.034,-0.001,0.862,iteration,True
1,0,7,-0.509,0.396,0.621,0.93,iteration,True
1,0,8,-0.578,0.569,0.534,1.371,iteration,True
1,0,9,-0.409,0.559,-0.188,0.29,iteration,True
1,0,10,-0.427,0.395,0.193,0.365,iteration,True
1,0,11,-0.471,0.466,0.151,0.32,iteration,True
1,0,12,-0.527,-0.4,-0.375,0.773,iteration,True
1,0,13,-0.469,-0.193,0.582,0.587,iteration,True
1,0,14,-0.589,-0.111,0.395,1.257,iteration,True
1,0,15,-0.461,-0.011,0.27,0.745,iteration,True
1,0,16,-0.529,0.037,-0.088,0.6,iteration,True
1,0,17,-0.445,0.258,0.049,0.423,iteration,True
1,0,18,-0.432,0.518,-0.136,0.898,iteration,True
1,0,19,-0.529,0.237,0.55,1.106,iteration,True
1,0,20,-0.519,0.327,0.241,1.233,iteration,True
1,0,21,-0.526,-0.052,-0.282,1.658,iteration,True
1,0,22,-0.541,-0.117,-0.628,1.064,iteration,True
1,0,23,-0.54,0.332,0.528,1.478,iteration,True
1,0,24,-0.468,0.282,-0.361,0.705,iteration,True
1,0,25,-0.473,0.188,-0.283,0.703,iteration,True
1,0,26,-0.558,-0.051,-0.72,1.235,iteration,True
1,0,27,-0.53,-0.156,-0.376,1.212,iteration,True
1,0,28,-0.339,-0.459,0.345,1.895,iteration,True
1,0,29,-0.611,-0.053,-0.48,1.581,iteration,True
1,0,30,-0.522,-0.452,-0.505,2.0,iteration,True
1,0,31,-0.462,-0.723,0.273,1.181,iteration,True
1,0,32,-0.466,-0.625,0.001,1.022,iteration,True
1,0,33,-0.531,-0.137,-0.021,0.503,iteration,True
1,0,34,-0.479,-0.421,0.491,0.17,iteration,True
1,0,35,-0.567,-0.709,-0.113,1.571,iteration,True
1,0,36,-0.535,-0.287,0.45,1.189,iteration,True
1,0,37,-0.418,0.234,-0.054,0.426,iteration,True
1,0,38,-0.468,0.362,-0.072,1.548,iteration,True
1,0,39,-0.45,-0.046,0.179,0.686,iteration,True
1,0,40,-0.502,-0.11,0.224,0.708,iteration,True
1,0,41,-0.433,-0.105,0.34,0.196,iteration,True
2,0,1,0.101,0.35,-0.307,-0.295,iteration,True
2,0,2,0.123,0.386,-0.499,0.001,iteration,True
2,0,3,0.09,0.376,-0.269,-0.015,iteration,True
2,0,4,0.078,0.41,-0.243,-0.11,iteration,True
2,0,5,0.118,0.426,-0.319,-0.275,iteration,True
2,0,6,0.09,0.375,-0.282,-0.015,iteration,True
2,0,7,0.044,0.124,-0.451,0.161,iteration,True
2,0,8,0.084,0.273,-0.248,-0.382,iteration,True
2,0,9,0.057,-0.063,-0.512,-0.079,iteration,True
2,0,10,0.057,0.082,-0.491,0.155,iteration,True
2,0,11,0.052,0.075,-0.589,0.041,iteration,True
2,0,12,0.116,0.309,-0.302,-0.29,iteration,True
2,0,13,0.034,0.284,-0.294,0.173,iteration,True
2,0,14,0.103,0.423,0.004,-0.247,iteration,True
2,0,15,0.093,0.337,-0.229,-0.039,iteration,True
2,0,16,0.073,-0.004,-0.525,-0.037,iteration,True
2,0,17,0.072,0.026,-0.496,-0.177,iteration,True
2,0,18,0.105,0.133,-0.377,-0.297,iteration,True
2,0,19,0.05,0.145,-0.506,0.146,iteration,True
2,0,20,0.06,-0.086,-0.594,-0.103,iteration,True
2,0,21,0.025,0.218,-0.236,0.003,iteration,True
2,0,22,0.131,0.293,-0.239,-0.536,iteration,True
2,0,23,0.088,0.194,-0.144,-0.39,iteration,True
2,0,24,0.156,0.449,-0.06,-0.183,iteration,True
2,0,25,0.031,0.128,-0.479,0.348,iteration,True
2,0,26,0.127,0.361,-0.304,-0.395,iteration,True
2,0,27,0.134,0.414,-0.242,-0.258,iteration,True
2,0,28,0.094,0.262,0.15,-0.373,iteration,True
2,0,29,0.141,0.439,-0.442,-0.367,iteration,True
2,0,30,0.096,0.36,0.082,-0.378,iteration,True
2,0,31,0.045,0.518,-0.124,0.2,iteration,True
2,0,32,0.054,0.461,-0.08,0.025,iteration,True
2,0,33,0.059,0.387,-0.013,0.027,iteration,True
2,0,34,0.063,0.374,-0.225,-0.276,iteration,True
2,0,35,0.089,0.404,0.011,-0.357,iteration,True
2,0,36,0.051,0.558,-0.105,0.182,iteration,True
2,0,37,0.061,0.043,-0.495,0.008,iteration,True
2,0,38,0.03,-0.035,-0.145,0.17,iteration,True
2,0,39,0.036,0.187,-0.437,0.415,iteration,True
2,0,40,0.056,0.467,-0.011,-0.171,iteration,True
2,0,41,0.019,0.173,-0.3,0.409,iteration,True
3,0,1,0.014,0.038,-0.086,-0.19,iteration,True
3,0,2,0.0,0.025,-0.064,-0.015,iteration,True
3,0,3,-0.001,0.022,-0.03,-0.005,iteration,True
3,0,4,-0.001,0.022,-0.022,-0.001,iteration,True
3,0,5,0.018,0.009,-0.049,-0.254,iteration,True
3,0,6,-0.001,0.022,-0.034,-0.008,iteration,True
3,0,7,0.003,0.008,-0.051,-0.003,iteration,True
3,0,8,0.003,-0.073,0.061,-0.041,iteration,True
3,0,9,0.003,0.0,-0.059,-0.081,iteration,True
3,0,10,-0.003,0.006,-0.062,0.044,iteration,True
3,0,11,-0.003,0.005,-0.078,0.013,iteration,True
3,0,12,0.006,0.01,-0.035,-0.082,iteration,True
3,0,13,0.004,0.006,-0.052,-0.009,iteration,True
3,0,14,-0.003,0.021,0.01,-0.007,iteration,True
3,0,15,-0.0,0.023,-0.031,-0.019,iteration,True
3,0,16,0.001,-0.006,-0.06,-0.046,iteration,True
3,0,17,0.003,-0.005,-0.06,-0.083,iteration,True
3,0,18,0.009,0.007,-0.056,-0.124,iteration,True
3,0,19,0.002,0.0,-0.049,-0.008,iteration,True
3,0,20,0.006,0.008,-0.067,-0.128,iteration,True
3,0,21,0.003,-0.007,-0.015,0.015,iteration,True
3,0,22,0.006,0.034,-0.042,-0.026,iteration,True
3,0,23,0.0,0.027,-0.028,0.023,iteration,True
3,0,24,0.009,0.05,-0.02,-0.151,iteration,True
3,0,25,-0.008,0.011,-0.049,0.096,iteration,True
3,0,26,0.006,-0.02,-0.033,-0.138,iteration,True
3,0,27,0.005,0.018,-0.04,-0.106,iteration,True
3,0,28,0.001,0.015,0.014,-0.099,iteration,True
3,0,29,-0.027,0.005,-0.107,0.005,iteration,True
3,0,30,0.006,0.019,-0.062,-0.261,iteration,True
3,0,31,-0.005,0.048,-0.018,0.053,iteration,True
3,0,32,-0.002,0.037,-0.01,0.003,iteration,True
3,0,33,0.001,0.023,-0.011,-0.099,iteration,True
3,0,34,0.002,0.017,-0.006,-0.197,iteration,True
3,0,35,0.0,0.028,0.007,-0.1,iteration,True
3,0,36,-0.005,0.052,-0.013,0.046,iteration,True
3,0,37,0.001,-0.0,-0.053,-0.034,iteration,True
3,0,38,0.001,-0.003,-0.011,-0.027,iteration,True
3,0,39,0.006,-0.007,-0.066,-0.052,iteration,True
3,0,40,-0.002,0.027,0.007,-0.009,iteration,True
3,0,41,-0.005,0.019,-0.034,0.138,iteration,True
4,0,1,0.019,0.119,-0.228,-0.068,iteration,True
4,0,2,0.01,0.095,-0.204,-0.027,iteration,True
4,0,3,0.014,0.13,-0.212,-0.002,iteration,True
4,0,4,-0.0,0.136,-0.161,-0.059,iteration,True
4,0,5,0.02,0.095,-0.207,-0.082,iteration,True
4,0,6,0.013,0.124,-0.22,0.001,iteration,True
4,0,7,0.0,0.124,-0.168,-0.046,iteration,True
4,0,8,0.002,0.125,-0.159,-0.045,iteration,True
4,0,9,0.015,0.089,-0.199,-0.007,iteration,True
4,0,10,0.012,0.12,-0.217,0.032,iteration,True
4,0,11,0.01,0.12,-0.236,-0.015,iteration,True
4,0,12,0.02,0.126,-0.22,-0.066,iteration,True
4,0,13,-0.002,0.138,-0.15,-0.059,iteration,True
4,0,14,0.001,0.135,-0.141,-0.067,iteration,True
