iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,-0.42287804878048785,0.05634094604344864,0.426614751668837,0.42287804878048785,-0.552,-0.269,41
1,0,x,0.030243902439024386,0.2961206725419929,0.2976611266884936,0.241609756097561,-0.638,0.619,41
1,0,y,-0.0014878048780487844,0.37697480810903,0.3769777440542016,0.32002439024390245,-0.738,0.69,41
1,0,z,0.6672926829268293,0.5728891368469052,0.879477963228686,0.7237317073170731,-0.351,2.0,41
2,0,origin_time,0.07529268292682927,0.03945373573609489,0.08500344325880957,0.07529268292682927,0.017,0.173,41
2,0,x,0.24221951219512194,0.14924697360907982,0.28450826212873365,0.24470731707317073,-0.027,0.494,41
2,0,y,-0.2873170731707317,0.23497778193095142,0.3711679653965107,0.32639024390243904,-0.626,0.218,41
2,0,z,-0.09156097560975611,0.31684073469177504,0.3298051900965692,0.24595121951219512,-0.829,0.402,41
3,0,origin_time,0.0007073170731707318,0.006659831911886857,0.006697287401372691,0.004804878048780488,-0.021,0.017,41
3,0,x,0.008634146341463415,0.019503290651130815,0.021329013790334812,0.01673170731707317,-0.047,0.046,41
3,0,y,-0.03819512195121951,0.029107219381230478,0.048021844622792347,0.04121951219512195,-0.126,0.035,41
3,0,z,-0.039780487804878056,0.09865374585130438,0.1063722180857756,0.07578048780487806,-0.295,0.144,41
4,0,origin_time,0.00921951219512195,0.006979105383727082,0.011563188015126742,0.009463414634146341,-0.002,0.023,41
4,0,x,0.13273170731707315,0.011755692736679311,0.13325127556246652,0.13273170731707315,0.104,0.151,41
4,0,y,-0.18992682926829269,0.03428886631781655,0.19299721974491832,0.18992682926829269,-0.25,-0.12,41
4,0,z,-0.08631707317073171,0.09441642039504654,0.1279261410383961,0.09714634146341464,-0.337,0.079,41
5,0,origin_time,0.0012195121951219512,0.0017038291899095592,0.0020952908873087344,0.0016585365853658538,-0.003,0.004,41
5,0,x,0.0047073170731707316,0.006200880749554559,0.007785226785236315,0.005536585365853659,-0.006,0.036,41
5,0,y,-0.01678048780487805,0.01135139874291195,0.02025929476537236,0.018,-0.041,0.022,41
5,0,z,-0.02790243902439024,0.04108931668050313,0.0496676760960334,0.033414634146341465,-0.182,0.066,41
6,0,origin_time,-0.003560975609756098,0.0044450508542609605,0.0056955266999851656,0.003951219512195122,-0.02,0.002,41
6,0,x,0.10343902439024391,0.009775651136663307,0.1038999284020505,0.10343902439024391,0.069,0.117,41
6,0,y,-0.11734146341463414,0.028931887847905527,0.12085558808235433,0.11792682926829268,-0.159,0.012,41
6,0,z,-0.04319512195121952,0.057810970143110096,0.07216596725097152,0.05314634146341463,-0.162,0.074,41
7,0,origin_time,0.0005121951219512194,0.0009907363908092635,0.0011153037429437733,0.0007073170731707318,-0.001,0.003,41
7,0,x,0.0036585365853658543,0.0024456008897766096,0.004400665138196337,0.004097560975609756,-0.004,0.009,41
7,0,y,-0.011146341463414635,0.005833297923464096,0.012580472673271337,0.011146341463414635,-0.026,-0.003,41
7,0,z,-0.01129268292682927,0.018221193640372533,0.021436804457890958,0.012902439024390245,-0.058,0.012,41
8,0,origin_time,-0.006878048780487806,0.002441462196339941,0.007298513046020184,0.006878048780487806,-0.012,-0.004,41
8,0,x,0.07719512195121951,0.008815782721070652,0.07769687817440789,0.07719512195121951,0.063,0.091,41
8,0,y,-0.0732439024390244,0.013783660329826865,0.0745295816208931,0.0732439024390244,-0.097,-0.042,41
8,0,z,-0.019585365853658537,0.036284092872743264,0.041232535105417814,0.030951219512195125,-0.097,0.065,41
