iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,1.52,4.652,iteration
2,0,1,3,4.56,5.749,iteration
2,0,1,4,5.44,5.894,iteration
2,0,1,5,9.54,6.19,iteration
2,0,1,6,18.78,6.25,iteration
2,0,1,7,23.28,6.75,iteration
2,0,1,8,27.97,6.88,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,1.52,4.649,iteration
4,0,1,3,4.56,5.777,iteration
4,0,1,4,5.44,5.887,iteration
4,0,1,5,9.54,6.187,iteration
4,0,1,6,18.78,6.25,iteration
4,0,1,7,23.28,6.75,iteration
4,0,1,8,27.97,6.88,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,1.52,4.644,iteration
6,0,1,3,4.56,5.781,iteration
6,0,1,4,5.44,5.889,iteration
6,0,1,5,9.54,6.186,iteration
6,0,1,6,18.78,6.25,iteration
6,0,1,7,23.28,6.75,iteration
6,0,1,8,27.97,6.88,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,1.52,4.638,iteration
8,0,1,3,4.56,5.784,iteration
8,0,1,4,5.44,5.89,iteration
8,0,1,5,9.54,6.185,iteration
8,0,1,6,18.78,6.25,iteration
8,0,1,7,23.28,6.75,iteration
8,0,1,8,27.97,6.88,iteration
8,0,1,9,45.0,8.1,iteration
