iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.035333333333333335,0.055854970931670696,0.06609252773364188,0.035333333333333335,0.0,0.14,0.14,9
4,0,1,0.016222222222222225,0.024012856638697056,0.028978919541242005,0.016222222222222225,0.0,0.066,0.066,9
6,0,1,0.007666666666666667,0.011479450238481709,0.01380418616056577,0.007666666666666667,0.0,0.031,0.031,9
8,0,1,0.001666666666666667,0.01304692386052062,0.013152946437965905,0.006111111111111112,-0.02,0.034,0.034,9
