sta,dis,azm,pha,wet,ptt,res,eid,ort,lat,lon,dep,mag,nst,dmn,gap,rms,erh,erz
ZANG,7.000,55.000,P,0,3.141,-0.061,1,,,,,,,,,,,
HIGH,13.000,117.000,P,0,3.631,-0.056,1,,,,,,,,,,,
BLVR,16.000,200.000,P,0,4.081,0.081,1,,,,,,,,,,,
NMVR,16.000,231.000,P,0,4.001,-0.058,1,,,,,,,,,,,
VRDN,17.000,289.000,P,0,4.171,0.058,1,,,,,,,,,,,
SRND,19.000,119.000,P,0,4.571,0.136,1,,,,,,,,,,,
AZGN,20.000,319.000,P,0,4.621,0.013,1,,,,,,,,,,,
MGSL,24.000,235.000,P,0,5.071,-0.059,1,,,,,,,,,,,
FRMZ,26.000,57.000,P,0,5.491,0.037,1,,,,,,,,,,,
KRNG,28.000,281.000,P,0,5.701,0.027,1,,,,,,,,,,,
GOLJ,33.000,87.000,P,0,6.501,-0.084,1,,,,,,,,,,,
GRVN,37.000,246.000,P,4,58.621,-8.486,1,,,,,,,,,,,
,,,,,,,1,2012-08-14 12:10:18.509,38.392,46.798,13.790,2.300,12.000,7.000,94.000,0.080,0.141,0.000
ZANG,4.000,63.000,P,0,2.580,-0.010,2,,,,,,,,,,,
HIGH,12.000,133.000,P,0,3.230,-0.102,2,,,,,,,,,,,
SRND,18.000,129.000,P,0,4.160,0.014,2,,,,,,,,,,,
BLVR,19.000,205.000,P,0,4.360,0.138,2,,,,,,,,,,,
VRDN,19.000,279.000,P,0,4.200,0.048,2,,,,,,,,,,,
NMVR,20.000,230.000,P,0,4.340,0.015,2,,,,,,,,,,,
AZGN,20.000,309.000,P,0,4.390,-0.044,2,,,,,,,,,,,
FRMZ,23.000,59.000,P,0,4.930,0.120,2,,,,,,,,,,,
MGSL,27.000,234.000,P,0,5.460,-0.047,2,,,,,,,,,,,
KRNG,30.000,276.000,P,0,5.850,-0.030,2,,,,,,,,,,,
GOLJ,31.000,91.000,P,0,6.040,-0.068,2,,,,,,,,,,,
GRVN,40.000,245.000,P,4,59.020,-8.520,2,,,,,,,,,,,
,,,,,,,2,2012-08-14 12:22:56.250,38.414,46.770,11.074,2.400,12.000,4.000,108.000,0.080,0.141,0.000
ZANG,1.000,44.000,P,0,2.367,-0.118,3,,,,,,,,,,,
HIGH,11.000,147.000,P,0,3.167,-0.038,3,,,,,,,,,,,
SRND,17.000,138.000,P,0,4.047,0.093,3,,,,,,,,,,,
FRMZ,20.000,57.000,P,0,4.457,0.088,3,,,,,,,,,,,
VRDN,21.000,275.000,P,0,4.617,0.068,3,,,,,,,,,,,
BLVR,21.000,210.000,P,0,4.757,0.206,3,,,,,,,,,,,
AZGN,22.000,303.000,P,0,4.667,-0.019,3,,,,,,,,,,,
NMVR,22.000,232.000,P,0,4.907,0.157,3,,,,,,,,,,,
GOLJ,28.000,93.000,P,0,5.617,-0.056,3,,,,,,,,,,,
