 2012  814 2237 18.9 L  38.411  46.833  9.4      13 0.0 1.5L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814223718     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ORNG     P   0A  2237 21.86                                    0.15            
 ZANG     P   0A  2237 21.65                                   -0.14            
 VRDN     P   0A  2237 22.27                                    0.03            
 AZGN     P   0A  2237 22.72                                   -0.05            
 HIGH     P   0A  2237 22.62                                   -0.13            
 BLVR     P   0A  2237 22.91                                    0.10            
 HRS      P   4A  2237 23.00                                   -0.55            
 MGSL     P   0A  2237 23.66                                   -0.08            
 SRND     P   0A  2237 23.77                                    0.08            
 KRNG     P   0A  2237 23.92                                   -0.05            
 KVCH     P   0A  2237 24.03                                    0.09            
 FRMZ     P   0A  2237 24.52                                    0.02            
 GOLJ     P   0A  2237 25.88                                   -0.03            
                                                                                

 2012  814 2312  1.6 L  38.398  46.687  3.6      13 0.0 1.6L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814231201     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A  2312  3.38                                    0.04            
 HIGH     P   0A  2312  3.49                                   -0.05            
 SRND     P   0A  2312  4.50                                   -0.00            
 KVCH     P   0A  2312  4.55                                    0.00            
 ORNG     P   0A  2312  5.76                                    0.09            
 FRMZ     P   0A  2312  5.78                                    0.11            
 BLVR     P   0A  2312  6.37                                    0.12            
 GOLJ     P   0A  2312  6.54                                   -0.09            
 NMVR     P   0A  2312  6.78                                   -0.01            
 VRDN     P   0A  2312  6.90                                   -0.11            
 AZGN     P   0A  2312  7.08                                   -0.16            
 MGSL     P   0A  2312  8.18                                    0.05            
 KRNG     P   4A  2312  8.73                                   -0.15            
                                                                                

 2012  814 2326 52.1 L  38.412  46.791 11.0      12 0.0 1.2L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814232652     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A  2326 54.80                                   -0.08            
 ORNG     P   0A  2326 55.43                                    0.16            
 HIGH     P   0A  2326 55.56                                   -0.11            
 VRDN     P   0A  2326 56.08                                    0.00            
 NMVR     P   0A  2326 56.27                                   -0.02            
 BLVR     P   0A  2326 56.37                                    0.10            
 AZGN     P   0A  2326 56.32                                   -0.11            
 SRND     P   0A  2326 56.56                                    0.04            
 KVCH     P   0A  2326 56.78                                    0.07            
 FRMZ     P   0A  2326 57.29                                    0.04            
 MGSL     P   0A  2326 57.39                                   -0.06            
 GOLJ     P   0A  2326 58.54                                   -0.04            
                                                                                

 2012  814 2333 32.2 L  38.399  46.659  3.8      14 0.0 2.1L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814233332     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 HIGH     P   0A  2333 34.16                                   -0.02            
 ZANG     P   0A  2333 34.30                                    0.02            
 KVCH     P   0A  2333 34.84                                   -0.01            
 SRND     P   0A  2333 34.92                                    0.00            
 FRMZ     P   0A  2333 36.10                                    0.12            
 ORNG     P   0A  2333 36.72                                    0.10            
 GOLJ     P   0A  2333 36.71                                   -0.09            
 BLVR     P   0A  2333 37.32                                    0.15            
 NMVR     P   0A  2333 37.76                                   -0.02            
 VRDN     P   0A  2333 37.89                                   -0.11            
 AZGN     P   0A  2333 38.02                                   -0.14            
 MGSL     P   0A  2333 39.10                                    0.00            
 HRS      P   4A  2333 38.63                                   -0.54            
 KRNG     P   4A  2333 39.69                                   -0.19            
                                                                                

 2012  814 2334 16.9 L  38.393  46.784  7.8      13 0.0 1.2L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814233416     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A  2334 18.35                                   -0.06            
 HIGH     P   0A  2334 18.97                                   -0.10            
 ORNG     P   0A  2334 19.36                                    0.18            
 BLVR     P   0A  2334 19.85                                    0.12            
 NMVR     P   0A  2334 19.88                                   -0.01            
 SRND     P   0A  2334 19.98                                   -0.02            
 VRDN     P   0A  2334 19.98                                   -0.01            
 KVCH     P   0A  2334 20.32                                    0.07            
 AZGN     P   0A  2334 20.39                                   -0.12            
 FRMZ     P   0A  2334 21.24                                    0.08            
 MGSL     P   0A  2334 21.13                                   -0.02            
 KRNG     P   0A  2334 21.74                                   -0.06            
 GOLJ     P   0A  2334 22.32                                   -0.05            
                                                                                

 2012  814 2342  5.3 L  38.391  46.674  3.8      13 0.0 1.6L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814234205     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 HIGH     P   0A  2342  7.04                                   -0.06            
 ZANG     P   0A  2342  7.28                                    0.03            
 SRND     P   0A  2342  7.98                                    0.02            
 KVCH     P   0A  2342  8.01                                    0.02            
 FRMZ     P   0A  2342  9.44                                    0.12            
 ORNG     P   0A  2342  9.66                                    0.09            
 BLVR     P   0A  2342 10.10                                    0.13            
 GOLJ     P   0A  2342 10.02                                   -0.10            
 NMVR     P   0A  2342 10.59                                    0.01            
 VRDN     P   0A  2342 10.78                                   -0.10            
 AZGN     P   0A  2342 10.99                                   -0.14            
 MGSL     P   0A  2342 11.90                                   -0.01            
 HRS      P   4A  2342 11.42                                   -0.57            
                                                                                

 2012  814 2356 13.4 L  38.410  46.748 10.6      12 0.0 1.1L                   1
 Action:ARG 26-09-15 11:07 OP:OBSP STATUS:               ID:20120814235613     I
