iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
1,0,1,-0.125,0.549,-1.182,0.639,iteration,True
1,0,2,-0.081,0.471,-0.683,1.02,iteration,True
1,0,3,-0.104,0.488,-0.565,0.974,iteration,True
1,0,4,-0.133,0.526,-0.559,1.11,iteration,True
1,0,5,-0.098,0.516,-0.805,0.434,iteration,True
1,0,6,-0.121,0.436,-0.887,0.632,iteration,True
1,0,7,-0.092,0.473,-0.841,0.497,iteration,True
1,0,8,-0.116,0.336,-0.421,0.941,iteration,True
1,0,9,-0.133,0.396,-0.866,0.741,iteration,True
1,0,10,-0.105,0.433,-0.555,1.015,iteration,True
1,0,11,-0.144,0.403,-0.818,0.835,iteration,True
1,0,12,-0.116,0.449,-0.52,0.991,iteration,True
1,0,13,-0.094,0.281,-1.106,0.479,iteration,True
1,0,14,-0.101,0.39,-0.818,0.587,iteration,True
1,0,15,-0.112,0.341,-0.669,0.561,iteration,True
1,0,16,-0.13,0.432,-0.941,0.522,iteration,True
1,0,17,-0.124,0.445,-0.905,0.673,iteration,True
1,0,18,-0.102,0.552,-0.884,0.514,iteration,True
1,0,19,-0.106,0.47,-0.822,0.516,iteration,True
1,0,20,-0.135,0.42,-0.808,0.832,iteration,True
1,0,21,-0.107,0.487,-0.652,1.07,iteration,True
1,0,22,-0.093,0.372,-0.516,0.967,iteration,True
1,0,23,-0.093,0.457,-0.862,0.413,iteration,True
1,0,24,-0.11,0.347,-0.833,0.528,iteration,True
1,0,25,-0.142,0.526,-1.116,0.704,iteration,True
1,0,26,-0.117,0.381,-0.862,0.609,iteration,True
1,0,27,-0.113,0.434,-0.876,0.637,iteration,True
1,0,28,-0.123,0.397,-0.444,0.387,iteration,True
1,0,29,-0.101,0.49,-0.793,-0.123,iteration,True
1,0,30,-0.107,0.447,-0.908,0.658,iteration,True
1,0,31,-0.114,0.495,-0.932,0.695,iteration,True
1,0,32,-0.118,0.416,-0.601,0.937,iteration,True
1,0,33,-0.085,0.374,-0.496,0.956,iteration,True
1,0,34,-0.096,0.446,-0.617,0.967,iteration,True
1,0,35,-0.086,0.402,-0.817,0.951,iteration,True
1,0,36,-0.102,0.266,-1.04,0.256,iteration,True
1,0,37,-0.084,0.403,-0.529,0.89,iteration,True
1,0,38,-0.109,0.414,-0.888,0.679,iteration,True
1,0,39,-0.137,0.25,-0.7,0.664,iteration,True
1,0,40,-0.143,0.272,-0.678,0.613,iteration,True
1,0,41,-0.11,0.541,-0.378,0.803,iteration,True
1,0,42,-0.102,0.404,-0.899,0.665,iteration,True
1,0,43,-0.109,0.154,-0.976,0.479,iteration,True
1,0,44,-0.134,0.524,-0.859,0.868,iteration,True
1,0,45,-0.105,0.265,-0.688,0.809,iteration,True
1,0,46,-0.108,0.422,-0.898,0.751,iteration,True
2,0,1,-0.039,0.094,-0.193,0.237,iteration,True
2,0,2,-0.013,0.057,-0.135,-0.103,iteration,True
2,0,3,-0.0,0.011,-0.24,-0.09,iteration,True
2,0,4,0.003,-0.137,-0.163,-0.192,iteration,True
2,0,5,-0.007,0.066,-0.042,-0.022,iteration,True
2,0,6,-0.021,0.078,-0.093,0.079,iteration,True
2,0,7,-0.015,0.069,-0.058,0.038,iteration,True
2,0,8,0.005,0.061,-0.271,-0.003,iteration,True
2,0,9,-0.027,0.07,-0.084,0.152,iteration,True
2,0,10,-0.007,0.003,-0.182,-0.072,iteration,True
2,0,11,-0.011,0.069,-0.083,0.03,iteration,True
2,0,12,-0.004,-0.028,-0.219,-0.069,iteration,True
2,0,13,-0.019,0.076,-0.102,0.017,iteration,True
2,0,14,-0.02,0.06,-0.053,0.115,iteration,True
2,0,15,-0.017,0.06,-0.044,-0.095,iteration,True
2,0,16,-0.023,0.086,-0.106,0.077,iteration,True
2,0,17,-0.024,0.08,-0.121,0.096,iteration,True
2,0,18,-0.018,0.074,-0.062,0.068,iteration,True
2,0,19,-0.015,0.033,-0.057,0.15,iteration,True
2,0,20,-0.011,0.053,-0.073,0.077,iteration,True
2,0,21,-0.011,-0.016,-0.094,-0.131,iteration,True
2,0,22,-0.008,0.059,-0.158,-0.032,iteration,True
2,0,23,-0.012,0.071,-0.056,0.005,iteration,True
2,0,24,-0.016,0.063,-0.076,0.017,iteration,True
2,0,25,-0.033,0.124,-0.215,0.151,iteration,True
2,0,26,-0.012,0.09,-0.045,0.15,iteration,True
2,0,27,-0.02,0.078,-0.086,0.07,iteration,True
2,0,28,-0.018,0.066,-0.027,-0.124,iteration,True
2,0,29,-0.005,0.058,-0.049,-0.14,iteration,True
2,0,30,-0.006,0.026,-0.062,-0.083,iteration,True
2,0,31,0.014,0.047,0.07,-0.257,iteration,True
2,0,32,0.007,-0.081,-0.199,-0.105,iteration,True
2,0,33,-0.005,-0.02,-0.18,-0.084,iteration,True
2,0,34,-0.004,-0.039,-0.218,-0.105,iteration,True
2,0,35,-0.012,-0.028,-0.049,-0.186,iteration,True
2,0,36,-0.012,0.09,-0.039,-0.031,iteration,True
2,0,37,-0.014,0.041,-0.07,-0.065,iteration,True
2,0,38,-0.025,0.096,-0.062,0.086,iteration,True
2,0,39,0.001,0.012,-0.113,-0.137,iteration,True
2,0,40,-0.011,-0.043,-0.013,-0.185,iteration,True
2,0,41,-0.003,-0.006,-0.215,-0.092,iteration,True
2,0,42,-0.019,0.076,-0.061,0.024,iteration,True
2,0,43,-0.012,0.117,0.022,0.05,iteration,True
2,0,44,-0.036,0.134,-0.068,0.138,iteration,True
2,0,45,-0.025,0.074,-0.089,-0.01,iteration,True
2,0,46,-0.02,0.068,-0.093,0.008,iteration,True
3,0,1,-0.014,0.011,-0.044,0.147,iteration,True
3,0,2,-0.0,0.003,-0.008,-0.004,iteration,True
3,0,3,0.0,-0.004,-0.02,-0.003,iteration,True
3,0,4,-0.0,-0.011,-0.012,-0.017,iteration,True
3,0,5,0.001,0.004,-0.004,-0.011,iteration,True
3,0,6,-0.002,0.006,-0.01,0.034,iteration,True
3,0,7,-0.001,0.002,-0.004,0.015,iteration,True
3,0,8,0.0,0.003,-0.021,0.005,iteration,True
3,0,9,-0.005,0.003,-0.007,0.071,iteration,True
