iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,3.09,4.501,iteration
2,0,1,3,5.51,4.755,iteration
2,0,1,4,6.43,5.833,iteration
2,0,1,5,9.37,6.103,iteration
2,0,1,6,12.59,6.33,iteration
2,0,1,7,19.11,6.57,iteration
2,0,1,8,24.07,6.84,iteration
2,0,1,9,27.33,7.04,iteration
2,0,1,10,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,3.09,4.501,iteration
4,0,1,3,5.51,4.721,iteration
4,0,1,4,6.43,5.891,iteration
4,0,1,5,9.37,6.176,iteration
4,0,1,6,12.59,6.435,iteration
4,0,1,7,19.11,6.57,iteration
4,0,1,8,24.07,6.84,iteration
4,0,1,9,27.33,7.04,iteration
4,0,1,10,45.0,8.1,iteration
6,0,1,1,-5.0,4.499,iteration
6,0,1,2,3.09,4.5,iteration
6,0,1,3,5.51,4.701,iteration
6,0,1,4,6.43,5.942,iteration
6,0,1,5,9.37,6.246,iteration
6,0,1,6,12.59,6.516,iteration
6,0,1,7,19.11,6.57,iteration
6,0,1,8,24.07,6.84,iteration
6,0,1,9,27.33,7.04,iteration
6,0,1,10,45.0,8.1,iteration
8,0,1,1,-5.0,4.499,iteration
8,0,1,2,3.09,4.5,iteration
8,0,1,3,5.51,4.698,iteration
8,0,1,4,6.43,5.989,iteration
8,0,1,5,9.37,6.306,iteration
8,0,1,6,12.59,6.573,iteration
8,0,1,7,19.11,6.574,iteration
8,0,1,8,24.07,6.84,iteration
8,0,1,9,27.33,7.04,iteration
8,0,1,10,45.0,8.1,iteration
