iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.14,4.501,iteration
2,0,1,3,4.28,5.062,iteration
2,0,1,4,6.18,6.019,iteration
2,0,1,5,9.74,6.238,iteration
2,0,1,6,12.42,6.529,iteration
2,0,1,7,18.46,6.83,iteration
2,0,1,8,23.34,6.91,iteration
2,0,1,9,26.97,7.13,iteration
2,0,1,10,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.14,4.501,iteration
4,0,1,3,4.28,5.143,iteration
4,0,1,4,6.18,6.057,iteration
4,0,1,5,9.74,6.255,iteration
4,0,1,6,12.42,6.572,iteration
4,0,1,7,18.46,6.83,iteration
4,0,1,8,23.34,6.91,iteration
4,0,1,9,26.97,7.13,iteration
4,0,1,10,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.14,4.501,iteration
6,0,1,3,4.28,5.232,iteration
6,0,1,4,6.18,6.091,iteration
6,0,1,5,9.74,6.237,iteration
6,0,1,6,12.42,6.608,iteration
6,0,1,7,18.46,6.83,iteration
6,0,1,8,23.34,6.91,iteration
6,0,1,9,26.97,7.13,iteration
6,0,1,10,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.14,4.501,iteration
8,0,1,3,4.28,5.36,iteration
8,0,1,4,6.18,6.113,iteration
8,0,1,5,9.74,6.241,iteration
8,0,1,6,12.42,6.624,iteration
8,0,1,7,18.46,6.83,iteration
8,0,1,8,23.34,6.91,iteration
8,0,1,9,26.97,7.13,iteration
8,0,1,10,45.0,8.1,iteration
