iteration,model,layer,depth,velocity
8,1,1,-5.0,4.5
8,1,2,2.3328,4.73836
8,1,3,3.9507999999999996,5.70596
8,1,4,5.2928,5.9352
8,1,5,9.2288,6.1937999999999995
8,1,6,19.3628,6.369199999999999
8,1,7,22.322,6.659199999999999
8,1,8,26.9,6.8652
8,1,9,45.0,8.1
