iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.61,4.684,iteration
2,0,1,3,4.08,5.47,iteration
2,0,1,4,5.73,6.056,iteration
2,0,1,5,9.44,6.401,iteration
2,0,1,6,18.68,6.68,iteration
2,0,1,7,22.85,7.01,iteration
2,0,1,8,26.92,7.26,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.61,4.605,iteration
4,0,1,3,4.08,5.592,iteration
4,0,1,4,5.73,6.067,iteration
4,0,1,5,9.44,6.372,iteration
4,0,1,6,18.68,6.68,iteration
4,0,1,7,22.85,7.01,iteration
4,0,1,8,26.92,7.26,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.61,4.563,iteration
6,0,1,3,4.08,5.684,iteration
6,0,1,4,5.73,6.062,iteration
6,0,1,5,9.44,6.368,iteration
6,0,1,6,18.68,6.68,iteration
6,0,1,7,22.85,7.01,iteration
6,0,1,8,26.92,7.26,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.61,4.544,iteration
8,0,1,3,4.08,5.716,iteration
8,0,1,4,5.73,6.056,iteration
8,0,1,5,9.44,6.362,iteration
8,0,1,6,18.68,6.68,iteration
8,0,1,7,22.85,7.01,iteration
8,0,1,8,26.92,7.26,iteration
8,0,1,9,45.0,8.1,iteration
