iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,0.038094,0.027229,0.165013,,True,True,False,accepted
1,0,0,0.025883,0.018501,0.136018,5.097,True,True,False,accepted
2,0,0,0.002634,0.001754,0.041885,3.371,True,True,False,accepted
3,0,0,0.002391,0.001709,0.04134,0.666,True,True,False,accepted
4,0,0,0.002363,0.001574,0.039677,1.649,True,True,False,accepted
5,0,0,0.002193,0.001568,0.039593,0.241,True,True,False,accepted
6,0,0,0.002254,0.001502,0.038751,1.145,True,True,False,accepted
7,0,0,0.002093,0.001496,0.038682,0.234,True,True,False,accepted
8,0,0,0.002198,0.001464,0.038261,0.79,True,True,True,accepted
