iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.03,4.597,iteration
2,0,1,3,4.48,5.52,iteration
2,0,1,4,6.21,6.038,iteration
2,0,1,5,9.88,6.278,iteration
2,0,1,6,20.35,6.48,iteration
2,0,1,7,22.89,6.82,iteration
2,0,1,8,27.32,7.07,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.03,4.501,iteration
4,0,1,3,4.48,5.649,iteration
4,0,1,4,6.21,6.07,iteration
4,0,1,5,9.88,6.337,iteration
4,0,1,6,20.35,6.48,iteration
4,0,1,7,22.89,6.82,iteration
4,0,1,8,27.32,7.07,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.03,4.501,iteration
6,0,1,3,4.48,5.71,iteration
6,0,1,4,6.21,6.079,iteration
6,0,1,5,9.88,6.363,iteration
6,0,1,6,20.35,6.48,iteration
6,0,1,7,22.89,6.82,iteration
6,0,1,8,27.32,7.07,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.03,4.501,iteration
8,0,1,3,4.48,5.742,iteration
8,0,1,4,6.21,6.082,iteration
8,0,1,5,9.88,6.363,iteration
8,0,1,6,20.35,6.48,iteration
8,0,1,7,22.89,6.82,iteration
8,0,1,8,27.32,7.07,iteration
8,0,1,9,45.0,8.1,iteration
