iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.02811111111111111,0.08301732676501862,0.0876476531979671,0.05322222222222222,-0.113,0.197,0.197,9
4,0,1,0.02033333333333333,0.03256446597818617,0.03839126057957577,0.02033333333333333,0.0,0.09,0.09,9
6,0,1,0.018666666666666665,0.03833478258130018,0.042638011210655684,0.018666666666666665,0.0,0.124,0.124,9
8,0,1,0.021222222222222226,0.05078008747482242,0.05503635162326806,0.021222222222222226,0.0,0.164,0.164,9
