iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
1,0,1,-0.363,-0.05,-0.588,0.002,iteration,True
1,0,2,-0.322,-0.377,0.203,-0.552,iteration,True
1,0,3,-0.325,-0.015,-0.183,0.158,iteration,True
1,0,4,-0.429,0.084,0.595,0.171,iteration,True
1,0,5,-0.305,0.139,-0.405,0.257,iteration,True
1,0,6,-0.417,0.06,-0.014,0.363,iteration,True
1,0,7,-0.439,0.516,0.621,0.163,iteration,True
1,0,8,-0.478,0.448,0.552,0.258,iteration,True
1,0,9,-0.291,0.476,-0.182,-0.169,iteration,True
1,0,10,-0.302,0.421,0.188,-0.116,iteration,True
1,0,11,-0.346,0.488,0.112,-0.172,iteration,True
1,0,12,-0.407,-0.292,-0.375,0.313,iteration,True
1,0,13,-0.394,0.086,0.657,-0.054,iteration,True
1,0,14,-0.487,0.043,0.39,0.344,iteration,True
1,0,15,-0.336,0.018,0.264,0.251,iteration,True
1,0,16,-0.362,0.009,-0.138,-0.326,iteration,True
1,0,17,-0.316,0.245,0.044,-0.184,iteration,True
1,0,18,-0.343,0.585,-0.322,0.683,iteration,True
1,0,19,-0.46,0.377,0.59,0.312,iteration,True
1,0,20,-0.357,0.285,0.191,0.203,iteration,True
1,0,21,-0.467,0.158,-0.3,0.959,iteration,True
1,0,22,-0.424,-0.073,-0.828,0.556,iteration,True
1,0,23,-0.428,0.246,0.594,0.414,iteration,True
1,0,24,-0.342,0.218,-0.343,0.034,iteration,True
1,0,25,-0.352,0.215,-0.289,0.176,iteration,True
1,0,26,-0.376,0.042,-0.762,0.166,iteration,True
1,0,27,-0.403,-0.128,-0.58,0.543,iteration,True
1,0,28,-0.149,-0.364,0.654,0.044,iteration,True
1,0,29,-0.497,-0.109,-0.505,0.601,iteration,True
1,0,30,-0.334,-0.225,-0.485,0.412,iteration,True
1,0,31,-0.294,-0.406,0.465,-0.182,iteration,True
1,0,32,-0.294,-0.317,0.198,-0.344,iteration,True
1,0,33,-0.455,0.101,0.048,-0.254,iteration,True
