iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.36,4.818,iteration
2,0,1,3,4.09,5.609,iteration
2,0,1,4,4.8,5.884,iteration
2,0,1,5,8.68,6.209,iteration
2,0,1,6,19.46,6.37,iteration
2,0,1,7,22.09,6.58,iteration
2,0,1,8,27.02,6.86,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.36,4.827,iteration
4,0,1,3,4.09,5.616,iteration
4,0,1,4,4.8,5.888,iteration
4,0,1,5,8.68,6.189,iteration
4,0,1,6,19.46,6.37,iteration
4,0,1,7,22.09,6.58,iteration
4,0,1,8,27.02,6.86,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.36,4.835,iteration
6,0,1,3,4.09,5.621,iteration
6,0,1,4,4.8,5.886,iteration
6,0,1,5,8.68,6.175,iteration
6,0,1,6,19.46,6.37,iteration
6,0,1,7,22.09,6.58,iteration
6,0,1,8,27.02,6.86,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.36,4.844,iteration
8,0,1,3,4.09,5.623,iteration
8,0,1,4,4.8,5.883,iteration
8,0,1,5,8.68,6.164,iteration
8,0,1,6,19.46,6.37,iteration
8,0,1,7,22.09,6.58,iteration
8,0,1,8,27.02,6.86,iteration
8,0,1,9,45.0,8.1,iteration
