iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,0.89,4.65,iteration
2,0,1,3,3.87,5.003,iteration
2,0,1,4,4.92,5.581,iteration
2,0,1,5,7.87,5.75,iteration
2,0,1,6,10.74,5.872,iteration
2,0,1,7,12.85,6.164,iteration
2,0,1,8,16.37,6.591,iteration
2,0,1,9,18.66,6.889,iteration
2,0,1,10,22.54,7.06,iteration
2,0,1,11,26.23,7.19,iteration
2,0,1,12,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,0.89,4.501,iteration
4,0,1,3,3.87,4.936,iteration
4,0,1,4,4.92,5.64,iteration
4,0,1,5,7.87,5.847,iteration
4,0,1,6,10.74,5.91,iteration
4,0,1,7,12.85,6.229,iteration
4,0,1,8,16.37,6.689,iteration
4,0,1,9,18.66,6.86,iteration
4,0,1,10,22.54,7.06,iteration
4,0,1,11,26.23,7.19,iteration
4,0,1,12,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,0.89,4.501,iteration
6,0,1,3,3.87,4.859,iteration
6,0,1,4,4.92,5.7,iteration
6,0,1,5,7.87,5.93,iteration
6,0,1,6,10.74,5.931,iteration
6,0,1,7,12.85,6.295,iteration
6,0,1,8,16.37,6.738,iteration
6,0,1,9,18.66,6.828,iteration
6,0,1,10,22.54,7.06,iteration
6,0,1,11,26.23,7.19,iteration
6,0,1,12,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,0.89,4.501,iteration
8,0,1,3,3.87,4.782,iteration
8,0,1,4,4.92,5.744,iteration
8,0,1,5,7.87,5.998,iteration
8,0,1,6,10.74,5.999,iteration
8,0,1,7,12.85,6.365,iteration
8,0,1,8,16.37,6.763,iteration
8,0,1,9,18.66,6.828,iteration
8,0,1,10,22.54,7.06,iteration
8,0,1,11,26.23,7.19,iteration
8,0,1,12,45.0,8.1,iteration
