iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,1.7,4.87,iteration
2,0,1,3,4.08,5.703,iteration
2,0,1,4,5.22,6.046,iteration
2,0,1,5,9.54,6.348,iteration
2,0,1,6,18.56,6.6,iteration
2,0,1,7,22.24,6.88,iteration
2,0,1,8,27.58,7.16,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,1.7,4.96,iteration
4,0,1,3,4.08,5.774,iteration
4,0,1,4,5.22,6.017,iteration
4,0,1,5,9.54,6.339,iteration
4,0,1,6,18.56,6.6,iteration
4,0,1,7,22.24,6.88,iteration
4,0,1,8,27.58,7.16,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,1.7,5.027,iteration
6,0,1,3,4.08,5.809,iteration
6,0,1,4,5.22,5.999,iteration
6,0,1,5,9.54,6.32,iteration
6,0,1,6,18.56,6.6,iteration
6,0,1,7,22.24,6.88,iteration
6,0,1,8,27.58,7.16,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,1.7,5.064,iteration
8,0,1,3,4.08,5.841,iteration
8,0,1,4,5.22,5.979,iteration
8,0,1,5,9.54,6.296,iteration
8,0,1,6,18.56,6.6,iteration
8,0,1,7,22.24,6.88,iteration
8,0,1,8,27.58,7.16,iteration
8,0,1,9,45.0,8.1,iteration
