iteration,model,layer,depth,velocity
8,1,1,-5.0,4.5
8,1,2,2.3328,4.7456
8,1,3,4.0108,5.730360000000001
8,1,4,5.3628,5.9496
8,1,5,9.2688,6.21136
8,1,6,19.3128,6.4204
8,1,7,22.372,6.700399999999999
8,1,8,26.96,6.916
8,1,9,45.0,8.1
