iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.01875,0.08597007715866414,0.08799100332799183,0.05591666666666667,-0.2,0.179,0.2,12
4,0,1,0.019166666666666665,0.034136572111967474,0.03914928692411481,0.024833333333333332,-0.034,0.083,0.083,12
6,0,1,0.01933333333333333,0.029844969797642992,0.035559808773389094,0.025500000000000005,-0.037,0.067,0.067,12
8,0,1,0.01875,0.028378762599286574,0.03401347772084864,0.024750000000000005,-0.036,0.064,0.064,12
