iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.41,4.62,iteration
2,0,1,3,4.57,4.765,iteration
2,0,1,4,5.63,6.01,iteration
2,0,1,5,9.65,6.31,iteration
2,0,1,6,18.91,6.47,iteration
2,0,1,7,22.18,6.69,iteration
2,0,1,8,26.98,7.14,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.41,4.673,iteration
4,0,1,3,4.57,4.831,iteration
4,0,1,4,5.63,6.002,iteration
4,0,1,5,9.65,6.313,iteration
4,0,1,6,18.91,6.47,iteration
4,0,1,7,22.18,6.69,iteration
4,0,1,8,26.98,7.14,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.41,4.687,iteration
6,0,1,3,4.57,4.92,iteration
6,0,1,4,5.63,5.992,iteration
6,0,1,5,9.65,6.306,iteration
6,0,1,6,18.91,6.47,iteration
6,0,1,7,22.18,6.69,iteration
6,0,1,8,26.98,7.14,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.41,4.695,iteration
8,0,1,3,4.57,5.025,iteration
8,0,1,4,5.63,5.977,iteration
8,0,1,5,9.65,6.29,iteration
8,0,1,6,18.91,6.47,iteration
8,0,1,7,22.18,6.69,iteration
8,0,1,8,26.98,7.14,iteration
8,0,1,9,45.0,8.1,iteration
