iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,0.096455,0.068944,0.262573,,True,True,False,accepted
1,0,0,0.050116,0.035822,0.189268,12.14,True,True,False,accepted
2,0,0,0.017692,0.011754,0.108414,1.902,True,True,False,accepted
3,0,0,0.014136,0.010104,0.100521,3.511,True,True,False,accepted
4,0,0,0.007291,0.004844,0.069596,1.491,True,True,False,accepted
5,0,0,0.006727,0.004808,0.069341,0.511,True,True,False,accepted
6,0,0,0.004181,0.002778,0.052704,1.331,True,True,False,accepted
7,0,0,0.003822,0.002732,0.05227,0.685,True,True,False,accepted
8,0,0,0.002959,0.001966,0.044336,1.219,True,True,True,accepted
