iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.56,4.542,iteration
2,0,1,3,4.37,5.63,iteration
2,0,1,4,5.65,5.949,iteration
2,0,1,5,9.41,6.214,iteration
2,0,1,6,19.65,6.45,iteration
2,0,1,7,21.66,6.67,iteration
2,0,1,8,26.78,6.97,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.56,4.501,iteration
4,0,1,3,4.37,5.69,iteration
4,0,1,4,5.65,5.98,iteration
4,0,1,5,9.41,6.277,iteration
4,0,1,6,19.65,6.45,iteration
4,0,1,7,21.66,6.67,iteration
4,0,1,8,26.78,6.97,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.56,4.501,iteration
6,0,1,3,4.37,5.73,iteration
6,0,1,4,5.65,5.986,iteration
6,0,1,5,9.41,6.278,iteration
6,0,1,6,19.65,6.45,iteration
6,0,1,7,21.66,6.67,iteration
6,0,1,8,26.78,6.97,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.56,4.501,iteration
8,0,1,3,4.37,5.735,iteration
8,0,1,4,5.65,5.986,iteration
8,0,1,5,9.41,6.279,iteration
8,0,1,6,19.65,6.45,iteration
8,0,1,7,21.66,6.67,iteration
8,0,1,8,26.78,6.97,iteration
8,0,1,9,45.0,8.1,iteration
