iteration,model,layer,depth,velocity
8,1,1,-5.0,4.4993799999999995
8,1,2,2.006,4.505520000000001
8,1,3,4.0914,4.78508
8,1,4,5.7488,5.62582
8,1,5,9.9544,5.93267
8,1,6,12.792200000000001,6.22186
8,1,7,18.9904,6.56643
8,1,8,23.038,6.76104
8,1,9,26.991,7.0066
8,1,10,45.0,8.1
