iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.01,4.509,iteration
2,0,1,3,4.59,4.897,iteration
2,0,1,4,5.3,5.911,iteration
2,0,1,5,9.86,6.163,iteration
2,0,1,6,12.74,6.408,iteration
2,0,1,7,19.56,6.56,iteration
2,0,1,8,23.33,6.78,iteration
2,0,1,9,26.61,7.06,iteration
2,0,1,10,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.01,4.501,iteration
4,0,1,3,4.59,4.858,iteration
4,0,1,4,5.3,5.944,iteration
4,0,1,5,9.86,6.192,iteration
4,0,1,6,12.74,6.456,iteration
4,0,1,7,19.56,6.56,iteration
4,0,1,8,23.33,6.78,iteration
4,0,1,9,26.61,7.06,iteration
4,0,1,10,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.01,4.501,iteration
6,0,1,3,4.59,4.843,iteration
6,0,1,4,5.3,5.961,iteration
6,0,1,5,9.86,6.19,iteration
6,0,1,6,12.74,6.478,iteration
6,0,1,7,19.56,6.56,iteration
6,0,1,8,23.33,6.78,iteration
6,0,1,9,26.61,7.06,iteration
6,0,1,10,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.01,4.501,iteration
8,0,1,3,4.59,4.849,iteration
8,0,1,4,5.3,5.963,iteration
8,0,1,5,9.86,6.194,iteration
8,0,1,6,12.74,6.483,iteration
8,0,1,7,19.56,6.56,iteration
8,0,1,8,23.33,6.78,iteration
8,0,1,9,26.61,7.06,iteration
8,0,1,10,45.0,8.1,iteration
