iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.5,4.817,iteration
2,0,1,3,4.48,5.872,iteration
2,0,1,4,5.6,6.031,iteration
2,0,1,5,8.66,6.322,iteration
2,0,1,6,19.71,6.63,iteration
2,0,1,7,22.64,6.82,iteration
2,0,1,8,26.75,7.03,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.5,4.83,iteration
4,0,1,3,4.48,5.883,iteration
4,0,1,4,5.6,6.024,iteration
4,0,1,5,8.66,6.298,iteration
4,0,1,6,19.71,6.63,iteration
4,0,1,7,22.64,6.82,iteration
4,0,1,8,26.75,7.03,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.5,4.841,iteration
6,0,1,3,4.48,5.894,iteration
6,0,1,4,5.6,6.016,iteration
6,0,1,5,8.66,6.278,iteration
6,0,1,6,19.71,6.63,iteration
6,0,1,7,22.64,6.82,iteration
6,0,1,8,26.75,7.03,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.5,4.851,iteration
8,0,1,3,4.48,5.892,iteration
8,0,1,4,5.6,6.015,iteration
8,0,1,5,8.66,6.263,iteration
8,0,1,6,19.71,6.63,iteration
8,0,1,7,22.64,6.82,iteration
8,0,1,8,26.75,7.03,iteration
8,0,1,9,45.0,8.1,iteration
