 2012  814 1210 18.2 L  38.392  46.798 15.0      12 0.0 2.3L                   1
 Action:ARG 26-09-15 11:08 OP:OBSP STATUS:               ID:20120814121018     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 ZANG     P   0A  1210 21.65                                   -0.08            
 HIGH     P   0A  1210 22.14                                   -0.06            
 BLVR     P   0A  1210 22.59                                    0.08            
 NMVR     P   0A  1210 22.51                                   -0.06            
 VRDN     P   0A  1210 22.68                                    0.06            
 SRND     P   0A  1210 23.08                                    0.15            
 AZGN     P   0A  1210 23.13                                    0.02            
 MGSL     P   0A  1210 23.58                                   -0.06            
 FRMZ     P   0A  1210 24.00                                    0.05            
 KRNG     P   0A  1210 24.21                                    0.02            
 GOLJ     P   0A  1210 25.01                                   -0.10            
 GRVN     P   4A  1211 17.13                                   -8.53            
                                                                                

 2012  814 1234 10.4 L  38.399  46.667  3.3      12 0.0 2.7L                   1
 Action:ARG 26-09-15 11:08 OP:OBSP STATUS:               ID:20120814123410     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 HIGH     P   0A  1234 12.20                                   -0.04            
 ZANG     P   0A  1234 12.28                                    0.03            
 SRND     P   0A  1234 13.07                                   -0.00            
 FRMZ     P   0A  1234 14.34                                    0.15            
 GOLJ     P   0A  1234 14.94                                   -0.12            
 BLVR     P   0A  1234 15.37                                    0.16            
 NMVR     P   0A  1234 15.88                                    0.06            
 VRDN     P   0A  1234 16.02                                   -0.01            
 AZGN     P   0A  1234 16.13                                   -0.09            
 MGSL     P   0A  1234 17.14                                   -0.01            
 KRNG     P   0A  1234 17.83                                   -0.10            
 GRVN     P   4A  1234 10.80                                   -8.66            
                                                                                

 2012  814 1358 41.2 L  38.395  46.675  3.6      12 0.0 2.0L                   1
 Action:ARG 26-09-15 11:08 OP:OBSP STATUS:               ID:20120814135841     I
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 HIGH     P   0A  1358 43.01                                   -0.06            
 ZANG     P   0A  1358 43.16                                    0.06            
 SRND     P   0A  1358 43.95                                   -0.01            
 KVCH     P   0A  1358 43.96                                   -0.01            
 FRMZ     P   0A  1358 45.29                                    0.14            
 BLVR     P   0A  1358 46.06                                    0.16            
 GOLJ     P   0A  1358 45.93                                   -0.09            
 NMVR     P   0A  1358 46.53                                    0.03            
 AZGN     P   0A  1358 46.85                                   -0.13            
 MGSL     P   0A  1358 47.89                                    0.05            
 KRNG     P   0A  1358 48.53                                   -0.12            
