ort,lat,lon,dep,mag
2012-08-15 16:28:54.300,38.382,46.77,11.7,3.0
2012-08-15 16:37:21.100,38.394,46.669,5.0,2.2
2012-08-15 17:49:05.100,38.387,46.654,7.0,4.7
2012-08-15 19:02:15.600,38.384,46.651,6.8,2.1
2012-08-15 19:23:58.100,38.388,46.649,7.1,1.8
2012-08-15 19:36:21.400,38.386,46.673,7.2,2.6
2012-08-15 19:37:25.900,38.399,46.695,5.1,1.5
2012-08-15 19:39:16.900,38.426,46.737,11.3,2.9
2012-08-15 19:59:43.800,38.384,46.648,6.0,1.6
2012-08-15 20:15:12.500,38.388,46.65,6.6,1.9
2012-08-15 20:19:00.000,38.407,46.733,10.7,2.4
2012-08-15 20:27:45.100,38.381,46.665,7.3,1.6
2012-08-15 20:38:43.000,38.41,46.799,10.1,1.8
2012-08-15 20:39:42.300,38.405,46.73,11.1,2.4
2012-08-15 20:41:16.200,38.398,46.827,3.2,1.2
2012-08-15 20:52:34.000,38.417,46.751,11.7,1.2
2012-08-15 20:54:03.100,38.426,46.738,11.6,1.3
2012-08-15 20:58:14.300,38.396,46.671,6.1,1.5
2012-08-15 20:59:12.600,38.387,46.678,4.8,1.2
2012-08-15 21:02:50.000,38.393,46.668,6.0,2.5
2012-08-15 21:14:04.700,38.431,46.733,10.5,1.2
