sta,dis,azm,pha,wet,ptt,res,eid,ort,lat,lon,dep,mag,nst,dmn,gap,rms,erh,erz
,,,,,,,1,2012-08-14 12:10:18.298,38.392,46.798,14.962,2.3,12.0,7.0,95.0,0.08,0.141,0.1
,,,,,,,4,2012-08-14 12:34:10.408,38.399,46.667,3.308,2.7,12.0,7.0,94.0,0.1,0.224,-0.1
,,,,,,,5,2012-08-14 13:58:41.272,38.395,46.675,3.611,2.0,12.0,6.0,89.0,0.1,0.224,-0.1
,,,,,,,12,2012-08-14 18:42:57.710,38.405,46.865,8.067,1.9,13.0,9.0,63.0,0.09,0.2,0.0
,,,,,,,18,2012-08-14 21:11:55.008,38.409,46.768,10.972,1.2,13.0,4.0,95.0,0.1,0.2,0.0
,,,,,,,27,2012-08-14 22:37:18.900,38.412,46.832,9.961,1.5,13.0,9.0,78.0,0.1,0.2,0.0
,,,,,,,32,2012-08-14 23:12:01.685,38.397,46.687,3.455,1.6,13.0,5.0,87.0,0.1,0.2,-0.1
,,,,,,,33,2012-08-14 23:26:52.077,38.413,46.791,11.674,1.2,12.0,6.0,95.0,0.09,0.2,0.0
,,,,,,,34,2012-08-14 23:33:32.301,38.398,46.659,3.606,2.1,14.0,7.0,94.0,0.1,0.2,-0.1
,,,,,,,35,2012-08-14 23:34:16.070,38.393,46.784,8.104,1.2,13.0,6.0,84.0,0.09,0.2,0.0
,,,,,,,37,2012-08-14 23:42:05.374,38.391,46.675,3.585,1.6,13.0,6.0,85.0,0.09,0.2,-0.1
,,,,,,,39,2012-08-14 23:56:12.942,38.41,46.748,11.248,1.1,12.0,3.0,82.0,0.09,0.2,0.0
,,,,,,,40,2012-08-15 00:30:25.061,38.404,46.837,9.931,1.1,12.0,10.0,73.0,0.09,0.2,0.0
,,,,,,,44,2012-08-15 01:12:32.736,38.395,46.681,4.381,0.0,14.0,6.0,86.0,0.1,0.2,-0.1
,,,,,,,45,2012-08-15 01:13:31.763,38.381,46.765,11.543,1.3,13.0,6.0,92.0,0.1,0.2,0.0
,,,,,,,47,2012-08-15 01:16:29.869,38.408,46.866,11.834,0.8,13.0,9.0,63.0,0.09,0.2,0.0
,,,,,,,48,2012-08-15 01:19:01.368,38.407,46.85,8.489,1.3,13.0,9.0,69.0,0.09,0.2,0.0
,,,,,,,51,2012-08-15 01:32:21.884,38.414,46.793,8.121,1.9,13.0,6.0,95.0,0.09,0.2,0.0
,,,,,,,56,2012-08-15 02:04:37.812,38.391,46.654,3.041,1.8,13.0,6.0,89.0,0.1,0.2,-0.1
,,,,,,,59,2012-08-15 02:27:22.063,38.398,46.697,3.115,1.8,13.0,5.0,82.0,0.09,0.2,-0.1
,,,,,,,60,2012-08-15 02:39:11.667,38.404,46.838,9.541,2.0,14.0,10.0,73.0,0.09,0.2,0.0
,,,,,,,63,2012-08-15 02:53:43.382,38.411,46.765,8.958,1.5,12.0,4.0,98.0,0.1,0.2,0.0
,,,,,,,65,2012-08-15 03:44:30.350,38.401,46.689,12.546,0.0,12.0,5.0,89.0,0.09,0.2,0.0
,,,,,,,73,2012-08-15 06:13:54.398,38.413,46.779,8.74,1.9,13.0,5.0,98.0,0.1,0.2,0.0
,,,,,,,74,2012-08-15 06:25:10.467,38.408,46.776,10.504,2.6,13.0,5.0,95.0,0.1,0.2,0.0
,,,,,,,76,2012-08-15 07:12:14.081,38.392,46.64,4.382,2.5,12.0,9.0,89.0,0.09,0.2,-0.1
,,,,,,,77,2012-08-15 09:03:23.569,38.395,46.798,9.741,1.6,12.0,12.0,84.0,0.1,0.2,0.0
,,,,,,,80,2012-08-15 09:25:48.931,38.404,46.795,11.035,2.2,15.0,6.0,90.0,0.1,0.224,0.0
,,,,,,,84,2012-08-15 10:56:56.968,38.408,46.711,3.352,2.9,17.0,3.0,82.0,0.09,0.2,-0.1
,,,,,,,85,2012-08-15 11:23:43.855,38.398,46.675,3.64,1.9,13.0,6.0,91.0,0.08,0.224,-0.1
,,,,,,,87,2012-08-15 11:39:29.007,38.387,46.683,3.919,2.0,15.0,5.0,78.0,0.09,0.224,-0.1
,,,,,,,88,2012-08-15 12:03:56.664,38.385,46.805,8.592,1.6,14.0,6.0,84.0,0.09,0.2,0.0
,,,,,,,89,2012-08-15 13:19:00.861,38.436,46.705,3.454,2.2,19.0,2.0,61.0,0.1,0.2,-0.1
,,,,,,,96,2012-08-15 14:20:41.268,38.412,46.788,10.112,1.6,14.0,3.0,78.0,0.09,0.2,0.0
,,,,,,,111,2012-08-15 19:59:43.528,38.39,46.65,4.799,1.6,14.0,6.0,61.0,0.09,0.2,-0.1
,,,,,,,115,2012-08-15 20:38:42.742,38.41,46.796,10.13,1.8,16.0,3.0,74.0,0.09,0.2,0.0
,,,,,,,117,2012-08-15 20:41:15.950,38.401,46.822,3.703,1.2,13.0,5.0,75.0,0.09,0.141,-0.1
,,,,,,,119,2012-08-15 20:54:02.827,38.423,46.741,11.194,1.3,14.0,1.0,81.0,0.1,0.2,0.0
,,,,,,,122,2012-08-15 21:02:49.769,38.397,46.667,4.93,2.5,15.0,6.0,60.0,0.1,0.224,-0.1
