iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.47,4.501,iteration
2,0,1,3,3.95,4.849,iteration
2,0,1,4,5.77,5.883,iteration
2,0,1,5,9.71,6.128,iteration
2,0,1,6,12.4,6.381,iteration
2,0,1,7,18.9,6.78,iteration
2,0,1,8,23.14,6.91,iteration
2,0,1,9,27.91,7.15,iteration
2,0,1,10,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.47,4.501,iteration
4,0,1,3,3.95,4.804,iteration
4,0,1,4,5.77,5.946,iteration
4,0,1,5,9.71,6.164,iteration
4,0,1,6,12.4,6.441,iteration
4,0,1,7,18.9,6.78,iteration
4,0,1,8,23.14,6.91,iteration
4,0,1,9,27.91,7.15,iteration
4,0,1,10,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.47,4.501,iteration
6,0,1,3,3.95,4.805,iteration
6,0,1,4,5.77,5.98,iteration
6,0,1,5,9.71,6.178,iteration
6,0,1,6,12.4,6.471,iteration
6,0,1,7,18.9,6.78,iteration
6,0,1,8,23.14,6.91,iteration
6,0,1,9,27.91,7.15,iteration
6,0,1,10,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.47,4.501,iteration
8,0,1,3,3.95,4.838,iteration
8,0,1,4,5.77,6.002,iteration
8,0,1,5,9.71,6.156,iteration
8,0,1,6,12.4,6.491,iteration
8,0,1,7,18.9,6.78,iteration
8,0,1,8,23.14,6.91,iteration
8,0,1,9,27.91,7.15,iteration
8,0,1,10,45.0,8.1,iteration
