iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.38,4.501,iteration
2,0,1,3,3.56,5.013,iteration
2,0,1,4,6.22,5.886,iteration
2,0,1,5,10.23,5.887,iteration
2,0,1,6,11.99,6.24,iteration
2,0,1,7,19.76,6.37,iteration
2,0,1,8,24.19,6.51,iteration
2,0,1,9,26.61,6.86,iteration
2,0,1,10,45.0,8.1,iteration
4,0,1,1,-5.0,4.499,iteration
4,0,1,2,2.38,4.5,iteration
4,0,1,3,3.56,4.841,iteration
4,0,1,4,6.22,5.998,iteration
4,0,1,5,10.23,5.999,iteration
4,0,1,6,11.99,6.406,iteration
4,0,1,7,19.76,6.407,iteration
4,0,1,8,24.19,6.51,iteration
4,0,1,9,26.61,6.86,iteration
4,0,1,10,45.0,8.1,iteration
6,0,1,1,-5.0,4.499,iteration
6,0,1,2,2.38,4.5,iteration
6,0,1,3,3.56,4.747,iteration
6,0,1,4,6.22,6.055,iteration
6,0,1,5,10.23,6.056,iteration
6,0,1,6,11.99,6.488,iteration
6,0,1,7,19.76,6.489,iteration
6,0,1,8,24.19,6.51,iteration
6,0,1,9,26.61,6.86,iteration
6,0,1,10,45.0,8.1,iteration
8,0,1,1,-5.0,4.499,iteration
8,0,1,2,2.38,4.5,iteration
8,0,1,3,3.56,4.715,iteration
8,0,1,4,6.22,6.086,iteration
8,0,1,5,10.23,6.087,iteration
8,0,1,6,11.99,6.526,iteration
8,0,1,7,19.76,6.527,iteration
8,0,1,8,24.19,6.528,iteration
8,0,1,9,26.61,6.86,iteration
8,0,1,10,45.0,8.1,iteration
