iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,-0.567609756097561,0.07913985091203758,0.5731002976962342,0.567609756097561,-0.74,-0.32,41
1,0,x,0.026243902439024396,0.32193521394065433,0.3230031337158262,0.251609756097561,-0.733,0.659,41
1,0,y,-0.04804878048780486,0.3997473562638985,0.40262468149176034,0.3313170731707317,-1.001,0.504,41
1,0,z,1.3568048780487805,0.5095842025498826,1.4493431396965202,1.3568048780487805,0.336,2.0,41
2,0,origin_time,0.08285365853658536,0.04884148625193583,0.0961780614911484,0.08436585365853659,-0.031,0.199,41
2,0,x,0.18800000000000003,0.13009733691805814,0.22862483914301773,0.20043902439024391,-0.088,0.41,41
2,0,y,-0.2050731707317073,0.2270179309823509,0.30592833530332464,0.2680487804878049,-0.54,0.317,41
2,0,z,-0.10321951219512197,0.3343592716616417,0.3499291217431073,0.28580487804878046,-0.82,0.659,41
3,0,origin_time,0.013317073170731709,0.008062073280491308,0.015567320367186966,0.014097560975609758,-0.007,0.027,41
3,0,x,0.010073170731707317,0.029339385203047488,0.031020449588665327,0.02407317073170732,-0.093,0.068,41
3,0,y,-0.015951219512195122,0.04547524184063247,0.048191690408100896,0.03951219512195122,-0.08,0.14,41
3,0,z,0.029073170731707315,0.09976225158428399,0.10391225191266415,0.08331707317073171,-0.15,0.311,41
4,0,origin_time,0.013560975609756096,0.018909345709086464,0.023269366442474244,0.018536585365853658,-0.025,0.054,41
4,0,x,0.14707317073170734,0.06873930612844176,0.16234410908960498,0.1488780487804878,-0.037,0.25,41
4,0,y,-0.17965853658536587,0.06894204344198088,0.19243231309203562,0.17965853658536587,-0.301,-0.039,41
4,0,z,-0.08497560975609757,0.12241801393922104,0.14902021470338814,0.1115609756097561,-0.357,0.196,41
5,0,origin_time,0.02231707317073171,0.008617732779736138,0.023923149315479595,0.02231707317073171,0.012,0.037,41
5,0,x,0.006682926829268293,0.008679774708749418,0.010954451150103323,0.008536585365853657,-0.015,0.038,41
5,0,y,-0.017146341463414635,0.01831907039873057,0.025091539726642097,0.02226829268292683,-0.046,0.03,41
5,0,z,-0.0820731707317073,0.0692413207535974,0.10737954113171902,0.0820731707317073,-0.232,-0.001,41
6,0,origin_time,-0.0036341463414634153,0.006195025925893015,0.0071822953053782565,0.005585365853658537,-0.015,0.006,41
6,0,x,0.09397560975609756,0.033075293118460795,0.09962625278460713,0.09397560975609756,0.015,0.146,41
6,0,y,-0.11414634146341462,0.023490071567044368,0.11653828011304833,0.11414634146341462,-0.149,-0.049,41
6,0,z,-0.03214634146341463,0.0576340689284494,0.06599297819262068,0.04858536585365854,-0.155,0.096,41
7,0,origin_time,0.013878048780487807,0.0047070011267660175,0.014654558934371776,0.013878048780487807,0.008,0.024,41
7,0,x,0.0037804878048780495,0.004111329943994748,0.005585259345027722,0.00475609756097561,-0.008,0.011,41
7,0,y,-0.008073170731707317,0.008696481609563997,0.011866123126311327,0.010560975609756098,-0.024,0.015,41
7,0,z,-0.041439024390243905,0.0354387474180505,0.05452611815429015,0.04187804878048781,-0.131,0.004,41
8,0,origin_time,-0.0030975609756097562,0.0025066241806196918,0.003984726939262941,0.0032926829268292686,-0.008,0.001,41
8,0,x,0.06424390243902439,0.019676382385879775,0.0671895752657378,0.06424390243902439,0.011,0.096,41
8,0,y,-0.07104878048780487,0.013432670801231355,0.07230743982232075,0.07104878048780487,-0.091,-0.035,41
8,0,z,-0.0015121951219512185,0.042853762649622956,0.042880435017815216,0.03473170731707317,-0.093,0.108,41
