iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.12,4.53,iteration
2,0,1,3,3.93,4.793,iteration
2,0,1,4,5.89,5.609,iteration
2,0,1,5,8.88,5.897,iteration
2,0,1,6,10.63,6.049,iteration
2,0,1,7,13.42,6.172,iteration
2,0,1,8,15.61,6.479,iteration
2,0,1,9,20.11,6.54,iteration
2,0,1,10,23.17,6.68,iteration
2,0,1,11,26.7,7.01,iteration
2,0,1,12,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.12,4.501,iteration
4,0,1,3,3.93,4.593,iteration
4,0,1,4,5.89,5.718,iteration
4,0,1,5,8.88,6.007,iteration
4,0,1,6,10.63,6.098,iteration
4,0,1,7,13.42,6.24,iteration
4,0,1,8,15.61,6.535,iteration
4,0,1,9,20.11,6.54,iteration
4,0,1,10,23.17,6.68,iteration
4,0,1,11,26.7,7.01,iteration
4,0,1,12,45.0,8.1,iteration
6,0,1,1,-5.0,4.499,iteration
6,0,1,2,2.12,4.5,iteration
6,0,1,3,3.93,4.501,iteration
6,0,1,4,5.89,5.806,iteration
6,0,1,5,8.88,6.121,iteration
6,0,1,6,10.63,6.14,iteration
6,0,1,7,13.42,6.363,iteration
6,0,1,8,15.61,6.599,iteration
6,0,1,9,20.11,6.6,iteration
6,0,1,10,23.17,6.68,iteration
6,0,1,11,26.7,7.01,iteration
6,0,1,12,45.0,8.1,iteration
8,0,1,1,-5.0,4.499,iteration
8,0,1,2,2.12,4.5,iteration
8,0,1,3,3.93,4.501,iteration
8,0,1,4,5.89,5.869,iteration
8,0,1,5,8.88,6.207,iteration
8,0,1,6,10.63,6.208,iteration
8,0,1,7,13.42,6.522,iteration
8,0,1,8,15.61,6.703,iteration
8,0,1,9,20.11,6.704,iteration
8,0,1,10,23.17,6.705,iteration
8,0,1,11,26.7,7.01,iteration
8,0,1,12,45.0,8.1,iteration
