iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.0030000000000000005,0.023209193580705615,0.023402279091290803,0.013444444444444445,-0.037,0.056,0.056,9
4,0,1,0.0007777777777777778,0.006745826327404684,0.0067905162624877875,0.004333333333333333,-0.011,0.013,0.013,9
6,0,1,0.00022222222222222231,0.004365973934308555,0.0043716256828680005,0.0024444444444444444,-0.009,0.009,0.009,9
8,0,1,-0.00022222222222222223,0.0028974232912011774,0.002905932629027116,0.0015555555555555557,-0.007,0.005,0.007,9
