iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,-0.7791219512195122,0.10314261855337202,0.7859194708328241,0.7791219512195122,-1.018,-0.51,41
1,0,x,-0.03453658536585366,0.41941190519879934,0.420831465020404,0.3427804878048781,-0.939,0.683,41
1,0,y,-0.09707317073170732,0.38590971964854004,0.39793154209627807,0.3100487804878049,-1.079,0.599,41
1,0,z,1.8907073170731705,0.1951535035464658,1.9007522323492057,1.8907073170731705,1.159,2.0,41
2,0,origin_time,0.036048780487804875,0.038836085318979224,0.05298826377190496,0.041902439024390246,-0.069,0.122,41
2,0,x,0.11721951219512196,0.07296625086720371,0.13807421122308847,0.1179512195121951,-0.014,0.264,41
2,0,y,-0.08648780487804877,0.13682677707396945,0.16186941439652264,0.1378048780487805,-0.253,0.36,41
2,0,z,-0.07665853658536587,0.10374090844822641,0.12899111332596974,0.10558536585365853,-0.332,0.199,41
3,0,origin_time,-0.007634146341463416,0.03523423785118949,0.03605179201256261,0.030804878048780484,-0.094,0.06,41
3,0,x,0.0094390243902439,0.12987067653415235,0.13021323974495852,0.09309756097560976,-0.336,0.356,41
3,0,y,0.01180487804878049,0.09941566336622265,0.10011408126878397,0.06965853658536586,-0.354,0.275,41
3,0,z,0.6737804878048781,0.5179958805842003,0.849882273052439,0.6887560975609757,-0.217,1.905,41
4,0,origin_time,-0.008439024390243903,0.018945427121188987,0.020739969659172953,0.016341463414634147,-0.049,0.032,41
4,0,x,0.062268292682926836,0.04790540699165688,0.07856378486734793,0.06607317073170733,-0.032,0.14,41
4,0,y,-0.06592682926829269,0.0623160278657975,0.09071733101420844,0.08148780487804877,-0.155,0.084,41
4,0,z,-0.06121951219512196,0.10347440173490347,0.120228035365321,0.08795121951219512,-0.29,0.101,41
5,0,origin_time,0.04073170731707317,0.011508267209195273,0.04232625893132951,0.04073170731707317,0.017,0.066,41
5,0,x,0.017341463414634144,0.03873714405536029,0.042441638551389944,0.029780487804878044,-0.101,0.123,41
5,0,y,0.0076585365853658535,0.038152843934593415,0.038913913744659884,0.021658536585365852,-0.044,0.176,41
5,0,z,0.07473170731707317,0.1272318844051293,0.14755602491191228,0.10970731707317072,-0.123,0.413,41
6,0,origin_time,-0.014926829268292682,0.016672440007393007,0.022378125207552085,0.018780487804878048,-0.047,0.017,41
6,0,x,0.05690243902439024,0.039404596041237513,0.06921423087846575,0.058707317073170735,-0.012,0.134,41
6,0,y,-0.06358536585365854,0.0461830797913315,0.07858737563855978,0.07017073170731707,-0.139,0.047,41
6,0,z,-0.06492682926829269,0.10512139097807816,0.12355565547557909,0.09024390243902439,-0.288,0.079,41
7,0,origin_time,0.053121951219512194,0.005751755286490311,0.05343242826452774,0.053121951219512194,0.046,0.081,41
7,0,x,0.004024390243902439,0.015164927130457962,0.015689828925368087,0.009439024390243902,-0.023,0.08,41
7,0,y,-0.008414634146341464,0.011448667213423233,0.014208379526901996,0.011195121951219513,-0.042,0.019,41
7,0,z,-0.10556097560975611,0.06731000316355254,0.12519487248909586,0.10556097560975611,-0.458,-0.038,41
8,0,origin_time,-0.017390243902439026,0.01513496686126967,0.023054019278165985,0.01924390243902439,-0.055,0.012,41
8,0,x,0.055097560975609756,0.03581374915025655,0.06571427435236987,0.05685365853658537,-0.031,0.116,41
8,0,y,-0.06987804878048781,0.042916365132577836,0.08200461022138314,0.0732439024390244,-0.137,0.028,41
8,0,z,-0.07270731707317073,0.09708136991969586,0.12128951455696167,0.08846341463414634,-0.272,0.058,41
