iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.57,4.568,iteration
2,0,1,3,4.13,5.015,iteration
2,0,1,4,6.48,6.043,iteration
2,0,1,5,9.17,6.27,iteration
2,0,1,6,18.88,6.58,iteration
2,0,1,7,23.05,6.83,iteration
2,0,1,8,27.57,6.99,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.57,4.501,iteration
4,0,1,3,4.13,5.106,iteration
4,0,1,4,6.48,6.086,iteration
4,0,1,5,9.17,6.344,iteration
4,0,1,6,18.88,6.58,iteration
4,0,1,7,23.05,6.83,iteration
4,0,1,8,27.57,6.99,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.499,iteration
6,0,1,2,2.57,4.5,iteration
6,0,1,3,4.13,5.181,iteration
6,0,1,4,6.48,6.125,iteration
6,0,1,5,9.17,6.387,iteration
6,0,1,6,18.88,6.58,iteration
6,0,1,7,23.05,6.83,iteration
6,0,1,8,27.57,6.99,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.499,iteration
8,0,1,2,2.57,4.5,iteration
8,0,1,3,4.13,5.255,iteration
8,0,1,4,6.48,6.159,iteration
8,0,1,5,9.17,6.424,iteration
8,0,1,6,18.88,6.58,iteration
8,0,1,7,23.05,6.83,iteration
8,0,1,8,27.57,6.99,iteration
8,0,1,9,45.0,8.1,iteration
