iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.5,4.817,iteration
2,0,1,3,4.42,5.848,iteration
2,0,1,4,5.53,6.019,iteration
2,0,1,5,8.62,6.291,iteration
2,0,1,6,19.76,6.58,iteration
2,0,1,7,22.59,6.78,iteration
2,0,1,8,26.69,6.98,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.5,4.829,iteration
4,0,1,3,4.42,5.854,iteration
4,0,1,4,5.53,6.012,iteration
4,0,1,5,8.62,6.275,iteration
4,0,1,6,19.76,6.58,iteration
4,0,1,7,22.59,6.78,iteration
4,0,1,8,26.69,6.98,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.5,4.84,iteration
6,0,1,3,4.42,5.868,iteration
6,0,1,4,5.53,6.001,iteration
6,0,1,5,8.62,6.258,iteration
6,0,1,6,19.76,6.58,iteration
6,0,1,7,22.59,6.78,iteration
6,0,1,8,26.69,6.98,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.5,4.849,iteration
8,0,1,3,4.42,5.876,iteration
8,0,1,4,5.53,5.995,iteration
8,0,1,5,8.62,6.241,iteration
8,0,1,6,19.76,6.58,iteration
8,0,1,7,22.59,6.78,iteration
8,0,1,8,26.69,6.98,iteration
8,0,1,9,45.0,8.1,iteration
