iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,-0.42236585365853657,0.07338729739807304,0.42869407478538535,0.42236585365853657,-0.587,-0.204,41
1,0,x,0.06007317073170732,0.28654556443906537,0.29277490729477385,0.234219512195122,-0.571,0.594,41
1,0,y,0.044243902439024395,0.41089401520478785,0.4132691793905594,0.35829268292682925,-0.835,0.718,41
1,0,z,0.5386097560975609,0.5107372422650671,0.7422620830946439,0.5782682926829268,-0.298,1.585,41
2,0,origin_time,0.06590243902439025,0.029821260118022674,0.07233559997947238,0.06590243902439025,0.018,0.142,41
2,0,x,0.25639024390243903,0.14165810404422308,0.29292144955560373,0.2571707317073171,-0.016,0.488,41
2,0,y,-0.24519512195121948,0.18753929272999845,0.3086934306821923,0.26158536585365855,-0.594,0.094,41
2,0,z,0.005682926829268291,0.18876807799382406,0.18885360183705596,0.155,-0.324,0.471,41
3,0,origin_time,0.0005365853658536585,0.004132545196811316,0.004167235733497277,0.0032195121951219515,-0.007,0.01,41
3,0,x,0.009878048780487805,0.016200263656317628,0.01897430868948596,0.015634146341463415,-0.043,0.041,41
3,0,y,-0.02868292682926829,0.028358711849714436,0.0403351810367611,0.03390243902439024,-0.072,0.079,41
3,0,z,-0.013756097560975612,0.0709004043773273,0.07222255576324899,0.05478048780487806,-0.196,0.138,41
4,0,origin_time,-0.008024390243902441,0.005948919987564247,0.009989018360423513,0.008414634146341466,-0.018,0.002,41
4,0,x,0.14312195121951218,0.02393201256603872,0.145109042262505,0.14312195121951218,0.06,0.174,41
4,0,y,-0.16902439024390242,0.024006592392231223,0.17072071044723824,0.16902439024390242,-0.213,-0.115,41
4,0,z,0.002951219512195121,0.06326018715590868,0.06332899000939267,0.055292682926829276,-0.095,0.123,41
5,0,origin_time,0.017146341463414635,0.0015704741494639268,0.017218112981222604,0.017146341463414635,0.014,0.021,41
5,0,x,0.006243902439024389,0.005783831491510552,0.008511111818689958,0.007853658536585364,-0.014,0.015,41
5,0,y,-0.015121951219512198,0.0071403870973540005,0.016722994247005105,0.01531707317073171,-0.03,0.004,41
5,0,z,-0.01075609756097561,0.019987533294781375,0.022697910078930603,0.017390243902439022,-0.063,0.026,41
6,0,origin_time,-0.01278048780487805,0.0027453925493180894,0.013072033077547188,0.01278048780487805,-0.018,-0.007,41
6,0,x,0.09882926829268292,0.01837403050573227,0.10052277984761804,0.09882926829268292,0.031,0.122,41
6,0,y,-0.10982926829268291,0.014718335071246424,0.11081108952165215,0.10982926829268291,-0.137,-0.075,41
6,0,z,0.013536585365853657,0.05984985178822068,0.06136158327845709,0.05582926829268293,-0.084,0.152,41
7,0,origin_time,0.031048780487804874,0.0023472996370213868,0.031137382442425268,0.031048780487804874,0.026,0.037,41
7,0,x,0.0025609756097560977,0.011444561559626826,0.011727599301044254,0.008121951219512195,-0.055,0.013,41
7,0,y,-0.009170731707317073,0.006842843650172197,0.011442326217526428,0.009951219512195122,-0.024,0.011,41
7,0,z,-0.01551219512195122,0.021431822647892267,0.026456591230016674,0.02107317073170732,-0.06,0.043,41
8,0,origin_time,-0.015097560975609759,0.001764208909270744,0.015200288829091533,0.015097560975609759,-0.019,-0.009,41
8,0,x,0.0788780487804878,0.016910373669915074,0.0806703620735222,0.0788780487804878,0.018,0.1,41
8,0,y,-0.07107317073170732,0.009895528046158734,0.07175874213760113,0.07107317073170732,-0.092,-0.048,41
8,0,z,0.015268292682926829,0.05717667287867765,0.05918017136614957,0.05370731707317073,-0.103,0.14,41
