iteration,model,layer,depth,velocity
8,1,1,-5.0,4.49994
8,1,2,2.1462,4.63434
8,1,3,4.2232,5.2296000000000005
8,1,4,5.7126,6.019500000000001
8,1,5,9.6846,6.333099999999999
8,1,6,19.0732,6.5976
8,1,7,22.938200000000002,6.832000000000001
8,1,8,26.816799999999997,7.064399999999999
8,1,9,45.0,8.1
