iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,0.01737,0.011869,0.108944,,True,True,False,accepted
1,0,0,0.001647,0.001125,0.033546,6.579,True,True,False,accepted
2,0,0,0.001473,0.00094,0.030666,0.972,True,True,False,accepted
3,0,0,0.001353,0.000924,0.030404,0.409,True,True,False,accepted
4,0,0,0.001425,0.00091,0.030161,0.549,True,True,False,accepted
5,0,0,0.001329,0.000908,0.030133,0.173,True,True,False,accepted
6,0,0,0.001412,0.000902,0.030029,0.416,True,True,False,accepted
7,0,0,0.001318,0.0009,0.030007,0.147,True,True,False,accepted
8,0,0,0.001403,0.000896,0.02993,0.319,True,True,True,accepted
