sta,dis,azm,pha,wet,ptt,res,eid,ort,lat,lon,dep,mag,nst,dmn,gap,rms,erh,erz
,,,,,,,1,2012-08-14 12:10:18.509,38.409,46.777,15.324,2.300,12.000,7.000,94.000,0.080,0.141,0.000
,,,,,,,4,2012-08-14 12:34:10.392,38.352,46.785,0.000,2.700,12.000,7.000,95.000,0.090,0.224,-0.100
,,,,,,,5,2012-08-14 13:58:41.259,38.358,46.507,1.583,2.000,12.000,6.000,89.000,0.100,0.224,-0.100
,,,,,,,8,2012-08-14 17:05:17.855,38.179,46.756,4.020,1.900,12.000,7.000,94.000,0.100,0.200,-0.100
,,,,,,,12,2012-08-14 18:42:57.733,38.566,46.958,3.439,1.900,13.000,10.000,63.000,0.090,0.200,0.000
,,,,,,,18,2012-08-14 21:11:55.097,38.512,46.640,3.341,1.200,13.000,4.000,95.000,0.100,0.200,0.000
,,,,,,,27,2012-08-14 22:37:18.959,38.382,46.847,2.597,1.500,13.000,9.000,78.000,0.100,0.200,-0.100
,,,,,,,32,2012-08-14 23:12:01.670,38.468,46.796,0.000,1.600,13.000,5.000,87.000,0.090,0.200,-0.100
,,,,,,,33,2012-08-14 23:26:52.187,38.437,46.799,0.000,1.200,12.000,6.000,94.000,0.080,0.200,0.000
,,,,,,,34,2012-08-14 23:33:32.284,38.349,46.749,1.183,2.100,14.000,7.000,95.000,0.100,0.200,-0.100
,,,,,,,35,2012-08-14 23:34:16.092,38.481,46.998,11.853,1.200,13.000,6.000,84.000,0.090,0.200,0.000
,,,,,,,37,2012-08-14 23:42:05.359,38.363,46.699,12.873,1.600,13.000,6.000,85.000,0.090,0.200,-0.100
,,,,,,,39,2012-08-14 23:56:13.041,38.380,46.723,17.093,1.100,12.000,3.000,81.000,0.080,0.200,0.000
,,,,,,,40,2012-08-15 00:30:25.122,38.333,46.769,33.877,1.100,12.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,44,2012-08-15 01:12:32.728,38.435,46.739,7.645,0.000,14.000,6.000,86.000,0.100,0.200,-0.000
,,,,,,,45,2012-08-15 01:13:31.872,38.372,46.747,6.255,1.300,13.000,6.000,92.000,0.090,0.200,0.000
,,,,,,,46,2012-08-15 01:15:32.094,38.470,46.709,30.054,1.600,13.000,1.000,76.000,0.100,0.200,0.000
,,,,,,,47,2012-08-15 01:16:30.006,38.352,46.857,0.336,0.800,13.000,9.000,63.000,0.090,0.200,0.000
,,,,,,,48,2012-08-15 01:19:01.392,38.418,46.908,17.908,1.300,13.000,9.000,69.000,0.090,0.200,0.000
,,,,,,,51,2012-08-15 01:32:21.905,38.334,46.697,0.000,1.900,13.000,6.000,95.000,0.090,0.200,0.000
,,,,,,,56,2012-08-15 02:04:37.798,38.468,46.516,6.782,1.800,13.000,6.000,89.000,0.100,0.200,-0.100
,,,,,,,59,2012-08-15 02:27:22.049,38.416,46.479,0.000,1.800,13.000,4.000,82.000,0.080,0.200,-0.100
,,,,,,,60,2012-08-15 02:39:11.708,38.434,46.946,18.148,2.000,14.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,63,2012-08-15 02:53:43.377,38.449,46.772,7.604,1.500,12.000,4.000,99.000,0.100,0.200,-0.100
,,,,,,,65,2012-08-15 03:44:30.491,38.310,46.824,2.069,0.000,12.000,5.000,90.000,0.080,0.200,0.000
,,,,,,,73,2012-08-15 06:13:54.422,38.483,46.778,25.295,1.900,13.000,5.000,98.000,0.090,0.200,0.000
,,,,,,,74,2012-08-15 06:25:10.541,38.593,46.709,17.612,2.600,13.000,5.000,95.000,0.090,0.200,0.000
,,,,,,,76,2012-08-15 07:12:14.074,38.245,46.682,4.875,2.500,12.000,9.000,88.000,0.090,0.200,-0.000
,,,,,,,77,2012-08-15 09:03:23.617,38.239,46.791,1.745,1.600,12.000,12.000,84.000,0.100,0.200,-0.100
