iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.031124999999999996,0.08764051217901457,0.09300336015435141,0.058625,-0.042,0.2,0.2,8
4,0,1,0.028875000000000005,0.08094973363143329,0.0859454769025107,0.052375,-0.046,0.2,0.2,8
6,0,1,0.0115,0.039968737783422685,0.04159026328361003,0.02175,-0.023,0.112,0.112,8
8,0,1,0.0023750000000000004,0.017902077393420014,0.0180589313083582,0.009375,-0.016,0.047,0.047,8
