iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
1,0,1,-0.235,-0.974,-2.974,0.254,iteration,True
1,0,2,0.278,7.252,2.468,2.0,iteration,True
1,0,4,0.657,13.649,13.748,2.0,iteration,True
1,0,6,0.698,-8.215,-6.257,2.0,iteration,True
1,0,7,0.201,1.648,1.304,2.0,iteration,True
1,0,8,0.184,7.769,-6.227,2.0,iteration,True
1,0,9,0.165,0.81,-3.534,2.0,iteration,True
1,0,10,0.257,6.042,2.676,2.0,iteration,True
1,0,11,-0.585,17.595,-7.701,2.0,iteration,True
1,0,12,-0.007,3.42,1.665,-2.0,iteration,True
1,0,13,-0.38,-1.348,1.788,-2.0,iteration,True
1,0,14,-2.081,-8.324,5.724,-2.0,iteration,True
1,0,15,0.035,5.785,-5.188,0.184,iteration,True
1,0,16,0.109,-0.998,-0.114,2.0,iteration,True
1,0,17,-1.456,1.148,-5.93,-2.0,iteration,True
1,0,18,0.132,0.248,3.802,2.0,iteration,True
1,0,19,-0.534,5.406,-2.057,-2.0,iteration,True
1,0,20,0.228,-5.469,5.912,2.0,iteration,True
1,0,23,-0.682,9.717,-3.903,0.63,iteration,True
1,0,24,0.03,1.051,-4.593,2.0,iteration,True
1,0,25,0.635,8.344,3.544,2.0,iteration,True
1,0,26,-1.015,1.084,-8.44,-2.0,iteration,True
1,0,28,0.644,4.602,12.105,2.0,iteration,True
1,0,29,1.319,0.811,14.025,2.0,iteration,True
1,0,30,0.089,-8.722,12.256,2.0,iteration,True
1,0,31,-0.133,-5.582,-8.304,2.0,iteration,True
1,0,32,-0.107,14.628,-2.394,2.0,iteration,True
1,0,34,0.009,3.923,-4.933,2.0,iteration,True
1,0,35,0.003,-1.254,-2.295,2.0,iteration,True
1,0,36,0.382,-4.49,-3.49,2.0,iteration,True
1,0,37,0.18,5.614,-0.233,2.0,iteration,True
1,0,38,0.429,0.808,-6.902,2.0,iteration,True
1,0,39,0.39,-5.656,8.997,2.0,iteration,True
1,0,40,-0.027,-0.594,3.313,-2.0,iteration,True
1,0,41,-0.426,-5.37,-3.919,-2.0,iteration,True
1,0,43,-0.013,9.517,6.572,1.76,iteration,True
1,0,44,0.188,-5.022,7.418,2.0,iteration,True
1,0,45,-1.046,16.235,3.891,-2.0,iteration,True
1,0,46,-0.106,-4.094,-9.244,2.0,iteration,True
2,0,1,0.119,-0.274,-0.15,0.434,iteration,True
2,0,2,0.086,1.23,0.474,0.82,iteration,True
2,0,3,-0.038,-0.75,-0.561,0.229,iteration,True
2,0,4,-0.024,-0.951,2.604,1.234,iteration,True
2,0,5,-0.32,-0.407,-2.307,0.973,iteration,True
2,0,6,-0.016,-0.777,-1.501,1.786,iteration,True
2,0,7,0.122,-0.275,0.208,0.718,iteration,True
2,0,8,0.039,0.872,-0.414,0.573,iteration,True
2,0,9,0.133,-0.444,-0.419,1.081,iteration,True
2,0,10,0.067,0.897,0.486,0.477,iteration,True
2,0,11,0.243,0.337,-0.902,-0.333,iteration,True
2,0,12,0.136,0.069,-0.004,-1.103,iteration,True
2,0,13,0.162,-0.109,0.074,-0.097,iteration,True
2,0,14,0.139,-0.467,0.461,-1.076,iteration,True
2,0,15,0.117,0.162,-0.103,-0.432,iteration,True
2,0,16,0.092,-0.122,-0.087,0.938,iteration,True
2,0,17,0.152,-0.201,-0.103,-1.105,iteration,True
2,0,18,0.164,-0.322,0.146,1.046,iteration,True
2,0,19,0.199,-0.445,0.025,-0.655,iteration,True
2,0,20,0.058,-0.723,0.136,0.893,iteration,True
2,0,21,0.061,0.407,-0.012,-1.047,iteration,True
2,0,22,-0.05,-1.177,0.13,0.974,iteration,True
2,0,23,0.194,-0.422,-0.073,-0.789,iteration,True
2,0,24,0.098,-0.085,-0.103,0.415,iteration,True
2,0,25,0.093,0.876,0.878,2.0,iteration,True
2,0,26,0.167,-0.299,-0.009,-1.32,iteration,True
2,0,27,0.16,-0.237,-0.731,-0.7,iteration,True
2,0,28,-0.085,0.273,0.877,-0.124,iteration,True
2,0,29,-0.258,-0.376,0.646,0.222,iteration,True
2,0,30,0.056,-0.352,0.424,0.349,iteration,True
2,0,31,0.121,-0.364,-0.155,0.639,iteration,True
2,0,32,0.174,0.337,-0.194,-1.609,iteration,True
2,0,33,0.104,-0.225,0.369,-1.254,iteration,True
2,0,34,0.107,0.263,-0.75,0.614,iteration,True
2,0,35,0.108,0.128,-0.029,0.568,iteration,True
2,0,36,0.052,-0.381,-0.273,0.623,iteration,True
2,0,37,0.064,0.749,0.443,0.645,iteration,True
2,0,38,0.038,-0.499,-0.712,1.267,iteration,True
2,0,39,-0.002,0.189,0.341,0.016,iteration,True
2,0,40,0.132,0.199,-0.055,-0.656,iteration,True
2,0,41,0.192,0.273,-0.059,-1.417,iteration,True
