ort,lat,lon,dep,mag
2012-08-14 12:10:18.460,38.3721,46.8006,18.15,2.3
2012-08-14 12:34:10.790,38.3882,46.6535,4.22,2.7
2012-08-14 13:58:41.650,38.3841,46.6632,4.72,2.0
2012-08-14 17:05:18.220,38.3879,46.643,4.11,1.9
2012-08-14 18:42:58.060,38.3942,46.8744,8.68,1.9
2012-08-14 21:11:55.260,38.3971,46.7675,13.38,1.2
2012-08-14 22:37:19.230,38.401,46.8391,11.17,1.5
2012-08-14 23:12:02.060,38.3876,46.6771,4.61,1.6
2012-08-14 23:26:52.370,38.4011,46.7944,13.46,1.2
2012-08-14 23:33:32.660,38.3884,46.646,4.77,2.1
2012-08-14 23:34:16.330,38.3801,46.7849,10.41,1.2
2012-08-14 23:42:05.740,38.3798,46.6636,4.75,1.6
2012-08-14 23:56:13.210,38.3955,46.7463,13.64,1.1
2012-08-15 00:30:24.650,38.3956,46.8602,18.8,1.1
2012-08-15 01:12:33.100,38.3837,46.6709,5.29,0.0
2012-08-15 01:13:31.990,38.3645,46.7639,13.82,1.3
2012-08-15 01:15:32.030,38.4098,46.7165,16.49,1.6
2012-08-15 01:16:30.280,38.3961,46.8753,12.03,0.8
2012-08-15 01:19:01.670,38.3969,46.8591,10.06,1.3
2012-08-15 01:32:22.200,38.4046,46.7957,9.95,1.9
2012-08-15 02:04:38.150,38.3808,46.6406,3.62,1.8
2012-08-15 02:27:22.450,38.389,46.6889,3.92,1.8
2012-08-15 02:39:11.930,38.393,46.846,11.62,2.0
2012-08-15 02:53:43.610,38.4014,46.7645,11.67,1.5
2012-08-15 03:44:30.560,38.3833,46.6756,15.05,0.0
2012-08-15 06:13:54.600,38.4031,46.7794,11.96,1.9
2012-08-15 06:25:10.680,38.3962,46.7759,13.29,2.6
2012-08-15 07:12:14.410,38.3838,46.6242,4.55,2.5
2012-08-15 09:03:24.090,38.3847,46.7991,5.19,1.6
2012-08-15 09:25:49.260,38.392,46.7992,12.5,2.2
2012-08-15 10:00:34.970,38.4149,46.7991,15.96,2.6
2012-08-15 10:53:25.030,38.3816,46.6289,4.71,2.4
2012-08-15 10:56:57.370,38.4,46.7054,4.21,2.9
2012-08-15 11:23:44.240,38.3867,46.6638,4.82,1.9
2012-08-15 11:39:29.380,38.3744,46.6748,4.62,2.0
2012-08-15 12:03:56.990,38.3701,46.8098,9.84,1.6
2012-08-15 13:19:01.260,38.431,46.6969,4.32,2.2
2012-08-15 14:20:41.520,38.4011,46.79,12.44,1.6
2012-08-15 16:01:21.580,38.3922,46.6685,6.17,1.6
2012-08-15 16:37:21.140,38.3825,46.6633,4.81,2.2
2012-08-15 19:59:43.870,38.3785,46.635,5.84,1.6
2012-08-15 20:38:43.020,38.3984,46.7995,12.25,1.8
2012-08-15 20:41:16.300,38.3913,46.8294,4.32,1.2
2012-08-15 20:54:03.000,38.4141,46.7342,14.37,1.3
2012-08-15 21:02:49.980,38.3838,46.652,9.9,2.5
2012-08-15 21:14:04.650,38.4239,46.7278,13.64,1.2
