iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,1.53,4.813,iteration
2,0,1,3,4.35,5.699,iteration
2,0,1,4,5.9,5.919,iteration
2,0,1,5,9.5,6.091,iteration
2,0,1,6,19.85,6.37,iteration
2,0,1,7,21.92,6.73,iteration
2,0,1,8,25.88,6.89,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,1.53,4.795,iteration
4,0,1,3,4.35,5.699,iteration
4,0,1,4,5.9,5.924,iteration
4,0,1,5,9.5,6.112,iteration
4,0,1,6,19.85,6.37,iteration
4,0,1,7,21.92,6.73,iteration
4,0,1,8,25.88,6.89,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,1.53,4.779,iteration
6,0,1,3,4.35,5.699,iteration
6,0,1,4,5.9,5.925,iteration
6,0,1,5,9.5,6.125,iteration
6,0,1,6,19.85,6.37,iteration
6,0,1,7,21.92,6.73,iteration
6,0,1,8,25.88,6.89,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,1.53,4.763,iteration
8,0,1,3,4.35,5.7,iteration
8,0,1,4,5.9,5.928,iteration
8,0,1,5,9.5,6.134,iteration
8,0,1,6,19.85,6.37,iteration
8,0,1,7,21.92,6.73,iteration
8,0,1,8,25.88,6.89,iteration
8,0,1,9,45.0,8.1,iteration
