iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.04083333333333333,0.05367779387750167,0.06744380376777889,0.04133333333333333,-0.003,0.137,0.137,12
4,0,1,0.02841666666666667,0.04692451088953642,0.05485815041237415,0.03691666666666667,-0.051,0.128,0.128,12
6,0,1,0.02075,0.0798958958061468,0.08254645156920233,0.05308333333333334,-0.194,0.131,0.194,12
8,0,1,0.013583333333333336,0.07465973740168719,0.07588533015895321,0.04691666666666667,-0.2,0.103,0.2,12
