iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.026555555555555558,0.07990704476120448,0.08420411708065903,0.04833333333333333,-0.06,0.2,0.2,9
4,0,1,0.018444444444444444,0.06463936040509874,0.06721937551364521,0.026000000000000002,-0.025,0.2,0.2,9
6,0,1,0.011555555555555557,0.07262554051986442,0.07353910524340095,0.03466666666666667,-0.092,0.2,0.2,9
8,0,1,0.0004444444444444435,0.04251564708332193,0.04251797005711559,0.020666666666666667,-0.085,0.095,0.095,9
