iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.25,4.54,iteration
2,0,1,3,3.68,5.204,iteration
2,0,1,4,5.88,5.457,iteration
2,0,1,5,7.72,5.717,iteration
2,0,1,6,9.93,5.861,iteration
2,0,1,7,12.41,6.079,iteration
2,0,1,8,15.78,6.186,iteration
2,0,1,9,18.9,6.536,iteration
2,0,1,10,22.83,6.65,iteration
2,0,1,11,27.03,6.84,iteration
2,0,1,12,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.25,4.501,iteration
4,0,1,3,3.68,5.131,iteration
4,0,1,4,5.88,5.579,iteration
4,0,1,5,7.72,5.828,iteration
4,0,1,6,9.93,5.892,iteration
4,0,1,7,12.41,6.145,iteration
4,0,1,8,15.78,6.217,iteration
4,0,1,9,18.9,6.58,iteration
4,0,1,10,22.83,6.65,iteration
4,0,1,11,27.03,6.84,iteration
4,0,1,12,45.0,8.1,iteration
6,0,1,1,-5.0,4.499,iteration
6,0,1,2,2.25,4.5,iteration
6,0,1,3,3.68,4.931,iteration
6,0,1,4,5.88,5.666,iteration
6,0,1,5,7.72,5.919,iteration
6,0,1,6,9.93,5.92,iteration
6,0,1,7,12.41,6.239,iteration
6,0,1,8,15.78,6.26,iteration
6,0,1,9,18.9,6.641,iteration
6,0,1,10,22.83,6.65,iteration
6,0,1,11,27.03,6.84,iteration
6,0,1,12,45.0,8.1,iteration
8,0,1,1,-5.0,4.499,iteration
8,0,1,2,2.25,4.5,iteration
8,0,1,3,3.68,4.731,iteration
8,0,1,4,5.88,5.747,iteration
8,0,1,5,7.72,6.022,iteration
8,0,1,6,9.93,6.023,iteration
8,0,1,7,12.41,6.369,iteration
8,0,1,8,15.78,6.37,iteration
8,0,1,9,18.9,6.641,iteration
8,0,1,10,22.83,6.65,iteration
8,0,1,11,27.03,6.84,iteration
8,0,1,12,45.0,8.1,iteration
