iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,-0.008666666666666666,0.02474312474652751,0.026217042802980914,0.012222222222222223,-0.075,0.014,0.075,9
4,0,1,-0.0029999999999999996,0.013735598518691008,0.014059397805975427,0.007444444444444444,-0.036,0.019,0.036,9
6,0,1,-0.0027777777777777775,0.0044416657980681515,0.0052387445485005705,0.003,-0.011,0.001,0.011,9
8,0,1,-0.0025555555555555557,0.004058218303944372,0.00479583152331272,0.002777777777777778,-0.011,0.001,0.011,9
