iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.58,4.729,iteration
2,0,1,3,3.63,5.68,iteration
2,0,1,4,5.17,5.94,iteration
2,0,1,5,8.95,6.196,iteration
2,0,1,6,19.29,6.43,iteration
2,0,1,7,21.73,6.7,iteration
2,0,1,8,26.68,6.9,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.58,4.727,iteration
4,0,1,3,3.63,5.68,iteration
4,0,1,4,5.17,5.936,iteration
4,0,1,5,8.95,6.2,iteration
4,0,1,6,19.29,6.43,iteration
4,0,1,7,21.73,6.7,iteration
4,0,1,8,26.68,6.9,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.58,4.724,iteration
6,0,1,3,3.63,5.681,iteration
6,0,1,4,5.17,5.934,iteration
6,0,1,5,8.95,6.198,iteration
6,0,1,6,19.29,6.43,iteration
6,0,1,7,21.73,6.7,iteration
6,0,1,8,26.68,6.9,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.58,4.722,iteration
8,0,1,3,3.63,5.682,iteration
8,0,1,4,5.17,5.932,iteration
8,0,1,5,8.95,6.196,iteration
8,0,1,6,19.29,6.43,iteration
8,0,1,7,21.73,6.7,iteration
8,0,1,8,26.68,6.9,iteration
8,0,1,9,45.0,8.1,iteration
