iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,3.276597,2.238914,1.4963,,True,True,False,accepted
1,0,0,0.425642,0.290843,0.539299,78.608,True,True,False,accepted
2,0,0,0.266759,0.170799,0.413278,8.433,True,True,False,accepted
3,0,0,0.114671,0.078355,0.27992,21.558,True,True,False,accepted
4,0,0,0.063077,0.040387,0.200964,8.337,True,True,False,accepted
5,0,0,0.041064,0.028059,0.167509,8.897,True,True,False,accepted
6,0,0,0.023716,0.015185,0.123226,7.162,True,True,False,accepted
7,0,0,0.011881,0.008118,0.090101,5.264,True,True,False,accepted
8,0,0,0.006813,0.004362,0.066049,4.344,True,True,True,accepted
