sta,dis,azm,pha,wet,ptt,res,eid,ort,lat,lon,dep,mag,nst,dmn,gap,rms,erh,erz
,,,,,,,1,2012-08-14 12:10:18.509,38.576,46.924,16.036,2.300,12.000,7.000,94.000,0.080,0.141,0.000
,,,,,,,4,2012-08-14 12:34:10.392,38.169,46.733,9.255,2.700,12.000,7.000,95.000,0.090,0.224,-0.100
,,,,,,,5,2012-08-14 13:58:41.259,38.433,46.692,0.000,2.000,12.000,6.000,89.000,0.100,0.224,-0.100
,,,,,,,8,2012-08-14 17:05:17.855,38.348,46.755,0.000,1.900,12.000,7.000,94.000,0.100,0.200,-0.100
,,,,,,,12,2012-08-14 18:42:57.733,38.363,46.847,7.742,1.900,13.000,10.000,63.000,0.090,0.200,0.000
,,,,,,,18,2012-08-14 21:11:55.097,38.390,46.685,22.506,1.200,13.000,4.000,95.000,0.100,0.200,0.000
,,,,,,,27,2012-08-14 22:37:18.959,38.229,46.886,16.947,1.500,13.000,9.000,78.000,0.100,0.200,-0.100
,,,,,,,32,2012-08-14 23:12:01.670,38.377,46.739,5.801,1.600,13.000,5.000,87.000,0.090,0.200,-0.100
,,,,,,,33,2012-08-14 23:26:52.187,38.334,46.772,7.797,1.200,12.000,6.000,94.000,0.080,0.200,0.000
,,,,,,,34,2012-08-14 23:33:32.284,38.698,46.589,6.745,2.100,14.000,7.000,95.000,0.100,0.200,-0.100
,,,,,,,35,2012-08-14 23:34:16.092,38.413,46.805,5.408,1.200,13.000,6.000,84.000,0.090,0.200,0.000
,,,,,,,37,2012-08-14 23:42:05.359,38.359,46.450,11.961,1.600,13.000,6.000,85.000,0.090,0.200,-0.100
,,,,,,,39,2012-08-14 23:56:13.041,38.385,46.810,2.678,1.100,12.000,3.000,81.000,0.080,0.200,0.000
,,,,,,,40,2012-08-15 00:30:25.122,38.344,46.882,10.646,1.100,12.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,44,2012-08-15 01:12:32.728,38.299,46.534,3.350,0.000,14.000,6.000,86.000,0.100,0.200,-0.000
,,,,,,,45,2012-08-15 01:13:31.872,38.346,46.771,16.252,1.300,13.000,6.000,92.000,0.090,0.200,0.000
,,,,,,,46,2012-08-15 01:15:32.094,38.464,46.638,13.584,1.600,13.000,1.000,76.000,0.100,0.200,0.000
,,,,,,,47,2012-08-15 01:16:30.006,38.386,46.934,36.308,0.800,13.000,9.000,63.000,0.090,0.200,0.000
,,,,,,,48,2012-08-15 01:19:01.392,38.493,46.667,23.210,1.300,13.000,9.000,69.000,0.090,0.200,0.000
,,,,,,,51,2012-08-15 01:32:21.905,38.396,46.711,22.859,1.900,13.000,6.000,95.000,0.090,0.200,0.000
,,,,,,,56,2012-08-15 02:04:37.798,38.394,46.718,0.000,1.800,13.000,6.000,89.000,0.100,0.200,-0.100
,,,,,,,59,2012-08-15 02:27:22.049,38.538,46.802,0.000,1.800,13.000,4.000,82.000,0.080,0.200,-0.100
,,,,,,,60,2012-08-15 02:39:11.708,38.453,46.644,3.069,2.000,14.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,63,2012-08-15 02:53:43.377,38.367,46.720,14.513,1.500,12.000,4.000,99.000,0.100,0.200,-0.100
,,,,,,,65,2012-08-15 03:44:30.491,38.385,46.717,0.000,0.000,12.000,5.000,90.000,0.080,0.200,0.000
,,,,,,,73,2012-08-15 06:13:54.422,38.462,46.724,20.256,1.900,13.000,5.000,98.000,0.090,0.200,0.000
,,,,,,,74,2012-08-15 06:25:10.541,38.582,46.919,20.628,2.600,13.000,5.000,95.000,0.090,0.200,0.000
,,,,,,,76,2012-08-15 07:12:14.074,38.368,46.532,0.000,2.500,12.000,9.000,88.000,0.090,0.200,-0.000
,,,,,,,77,2012-08-15 09:03:23.617,38.373,46.830,0.000,1.600,12.000,12.000,84.000,0.100,0.200,-0.100
,,,,,,,80,2012-08-15 09:25:49.082,38.494,46.703,1.510,2.200,15.000,7.000,88.000,0.090,0.200,0.000
,,,,,,,81,2012-08-15 10:00:34.872,38.343,46.923,13.069,2.600,17.000,2.000,71.000,0.100,0.200,0.000
,,,,,,,83,2012-08-15 10:53:24.653,38.367,46.640,10.398,2.400,15.000,6.000,89.000,0.100,0.224,-0.100
,,,,,,,84,2012-08-15 10:56:56.952,38.488,46.678,24.019,2.900,17.000,3.000,83.000,0.090,0.200,-0.100
,,,,,,,85,2012-08-15 11:23:43.842,38.450,46.519,1.894,1.900,13.000,6.000,92.000,0.080,0.224,-0.100
,,,,,,,87,2012-08-15 11:39:28.983,38.395,46.834,11.561,2.000,15.000,5.000,78.000,0.080,0.224,-0.100
,,,,,,,88,2012-08-15 12:03:56.688,38.445,46.873,9.904,1.600,14.000,6.000,84.000,0.090,0.200,0.000
,,,,,,,89,2012-08-15 13:19:00.839,38.182,46.772,21.249,2.200,19.000,2.000,62.000,0.090,0.200,-0.100
,,,,,,,96,2012-08-15 14:20:41.315,38.504,46.890,17.254,1.600,14.000,3.000,78.000,0.090,0.200,0.000
,,,,,,,101,2012-08-15 16:01:21.232,38.317,46.707,18.829,1.600,12.000,6.000,97.000,0.100,0.200,-0.100
,,,,,,,104,2012-08-15 16:37:20.799,38.243,46.614,0.000,2.200,14.000,7.000,87.000,0.100,0.200,-0.100
,,,,,,,111,2012-08-15 19:59:43.514,38.415,46.579,2.260,1.600,14.000,6.000,61.000,0.090,0.200,-0.100
,,,,,,,115,2012-08-15 20:38:42.800,38.473,46.724,1.563,1.800,16.000,3.000,74.000,0.080,0.200,0.000
,,,,,,,117,2012-08-15 20:41:15.941,38.362,46.945,19.175,1.200,13.000,5.000,75.000,0.090,0.141,-0.100
,,,,,,,119,2012-08-15 20:54:02.913,38.326,46.609,17.273,1.300,14.000,1.000,81.000,0.090,0.200,0.000
,,,,,,,122,2012-08-15 21:02:49.754,38.399,46.613,2.095,2.500,15.000,6.000,61.000,0.100,0.224,-0.000
,,,,,,,123,2012-08-15 21:14:04.494,38.427,46.704,5.864,1.200,16.000,0.000,85.000,0.100,0.200,0.000
