ort,lat,lon,dep,mag
2012-08-14 12:10:18.210,38.3704,46.7931,20.26,2.3
2012-08-14 12:34:10.700,38.3883,46.6447,4.31,2.7
2012-08-14 13:58:41.570,38.3842,46.6548,4.9,2.0
2012-08-14 17:05:18.120,38.3883,46.6342,4.05,1.9
2012-08-14 18:42:57.910,38.3944,46.8711,10.73,1.9
2012-08-14 21:11:55.020,38.3969,46.7587,15.52,1.2
2012-08-14 22:37:18.960,38.4026,46.8349,14.26,1.5
2012-08-14 23:12:02.000,38.3875,46.6685,4.84,1.6
2012-08-14 23:26:52.100,38.4018,46.7874,16.05,1.2
2012-08-14 23:33:32.590,38.3873,46.6366,5.02,2.1
2012-08-14 23:34:16.190,38.3794,46.7778,11.83,1.2
2012-08-14 23:42:05.670,38.379,46.6544,4.95,1.6
2012-08-14 23:56:13.080,38.3951,46.7379,14.55,1.1
2012-08-15 00:30:25.110,38.3939,46.8433,14.13,1.1
2012-08-15 01:12:33.020,38.3836,46.6625,5.66,0.0
2012-08-15 01:13:31.790,38.3623,46.7551,15.55,1.3
2012-08-15 01:15:32.000,38.41,46.7084,16.22,1.6
2012-08-15 01:16:29.290,38.3973,46.8862,21.65,0.8
2012-08-15 01:19:01.360,38.3979,46.8574,13.86,1.3
2012-08-15 01:32:21.970,38.4059,46.7888,12.58,1.9
2012-08-15 02:04:38.060,38.3811,46.632,3.65,1.8
2012-08-15 02:27:22.390,38.3892,46.6805,4.33,1.8
2012-08-15 02:39:11.820,38.393,46.8408,12.76,2.0
2012-08-15 02:53:43.450,38.4016,46.7563,13.13,1.5
2012-08-15 03:44:30.510,38.3836,46.6669,14.9,0.0
2012-08-15 06:13:54.490,38.4034,46.7722,12.92,1.9
2012-08-15 06:25:10.480,38.3961,46.7678,15.21,2.6
2012-08-15 07:12:14.310,38.384,46.615,4.51,2.5
2012-08-15 09:03:24.000,38.385,46.7927,7.86,1.6
2012-08-15 09:25:49.130,38.3917,46.7926,13.74,2.2
2012-08-15 10:00:34.770,38.416,46.7921,17.74,2.6
2012-08-15 10:53:24.930,38.3814,46.6195,4.63,2.4
2012-08-15 10:56:57.340,38.3999,46.6962,8.02,2.9
2012-08-15 11:23:44.160,38.3866,46.655,4.9,1.9
2012-08-15 11:39:29.310,38.3742,46.6663,4.82,2.0
2012-08-15 12:03:56.810,38.3685,46.8038,11.86,1.6
2012-08-15 13:19:01.230,38.4342,46.6883,9.25,2.2
2012-08-15 14:20:41.280,38.402,46.7821,14.72,1.6
2012-08-15 16:01:21.470,38.392,46.6597,7.14,1.6
2012-08-15 16:37:21.070,38.3823,46.6542,5.02,2.2
2012-08-15 19:59:43.800,38.3792,46.6265,5.13,1.6
2012-08-15 20:38:42.850,38.3983,46.7928,13.99,1.8
2012-08-15 20:41:16.280,38.3926,46.8245,6.87,1.2
2012-08-15 20:54:02.760,38.4149,46.7229,16.32,1.3
2012-08-15 21:02:49.990,38.3845,46.6458,7.12,2.5
2012-08-15 21:14:04.470,38.4245,46.718,14.97,1.2
