iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.33,4.747,iteration
2,0,1,3,3.89,5.838,iteration
2,0,1,4,5.22,6.13,iteration
2,0,1,5,19.41,6.198,iteration
2,0,1,6,22.27,6.596,iteration
2,0,1,7,26.84,6.795,iteration
2,0,1,8,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.33,4.713,iteration
4,0,1,3,3.89,5.958,iteration
4,0,1,4,5.22,6.33,iteration
4,0,1,5,19.41,6.331,iteration
4,0,1,6,22.27,6.574,iteration
4,0,1,7,26.84,6.771,iteration
4,0,1,8,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.33,4.676,iteration
6,0,1,3,3.89,5.937,iteration
6,0,1,4,5.22,6.477,iteration
6,0,1,5,19.41,6.478,iteration
6,0,1,6,22.27,6.538,iteration
6,0,1,7,26.84,6.764,iteration
6,0,1,8,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.33,4.65,iteration
8,0,1,3,3.89,5.904,iteration
8,0,1,4,5.22,6.523,iteration
8,0,1,5,19.41,6.524,iteration
8,0,1,6,22.27,6.529,iteration
8,0,1,7,26.84,6.764,iteration
8,0,1,8,45.0,8.1,iteration
