iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.035500000000000004,0.08564169545262401,0.09270787453069992,0.058249999999999996,-0.052,0.2,0.2,8
4,0,1,0.030125000000000006,0.07849273453638879,0.08407511522442297,0.049874999999999996,-0.033,0.2,0.2,8
6,0,1,0.00575,0.055339294357626204,0.05563721775933803,0.031,-0.037,0.147,0.147,8
8,0,1,-0.002875,0.022217321508228666,0.022402566817219853,0.014374999999999999,-0.033,0.046,0.046,8
