iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,0.061414,0.043897,0.209517,,True,True,False,accepted
1,0,0,0.031164,0.022275,0.14925,9.269,True,True,False,accepted
2,0,0,0.005555,0.003691,0.060751,2.639,True,True,False,accepted
3,0,0,0.004911,0.00351,0.059246,1.003,True,True,False,accepted
4,0,0,0.002968,0.001972,0.044404,1.267,True,True,False,accepted
5,0,0,0.002719,0.001944,0.044087,0.475,True,True,False,accepted
6,0,0,0.002403,0.001597,0.039957,1.043,True,True,False,accepted
7,0,0,0.002203,0.001574,0.03968,0.467,True,True,False,accepted
8,0,0,0.002247,0.001493,0.038633,0.832,True,True,True,accepted
