iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,-0.001111111111111111,0.004408185427750527,0.0045460605656619515,0.0028888888888888888,-0.009,0.008,0.009,9
4,0,1,-0.0006666666666666665,0.004216370213557839,0.004268749491621899,0.0024444444444444444,-0.011,0.005,0.011,9
6,0,1,-0.0007777777777777778,0.004491418429201719,0.004558264777059114,0.0025555555555555557,-0.012,0.005,0.012,9
8,0,1,-0.0008888888888888889,0.0034462360931712937,0.003559026084010437,0.002,-0.009,0.005,0.009,9
