iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,-0.16246341463414632,0.056526314856596684,0.17201623576236535,0.16353658536585367,-0.283,0.022,41
1,0,x,0.046853658536585366,0.26078432926281087,0.26495986810707217,0.2029512195121951,-0.578,0.556,41
1,0,y,0.06765853658536586,0.3694391008764435,0.3755834485560676,0.32487804878048776,-0.727,0.737,41
1,0,z,-0.3094390243902439,0.3396620306458507,0.4594810168854082,0.3835853658536585,-1.098,0.32,41
2,0,origin_time,0.035317073170731704,0.024984325841918044,0.04326097774116936,0.03697560975609756,-0.031,0.108,41
2,0,x,0.24168292682926834,0.14331637167969916,0.28098081698257465,0.2444146341463415,-0.056,0.521,41
2,0,y,-0.2439024390243903,0.1536670148648232,0.28827409044087227,0.2516585365853659,-0.548,0.159,41
2,0,z,-0.075,0.20134135557161284,0.2148565602056745,0.17246341463414633,-0.473,0.298,41
3,0,origin_time,0.0011951219512195122,0.004139161645970034,0.0043082450730844105,0.0028536585365853662,-0.007,0.013,41
3,0,x,0.01024390243902439,0.01311074868619001,0.016638187049455928,0.013414634146341465,-0.035,0.039,41
3,0,y,-0.025634146341463413,0.019402987068956584,0.03214942248087294,0.027048780487804878,-0.066,0.014,41
3,0,z,-0.06048780487804879,0.08488647280876468,0.10423285376923175,0.0788780487804878,-0.347,0.126,41
4,0,origin_time,-0.008536585365853657,0.0068613358614549895,0.010952224409324121,0.00921951219512195,-0.026,0.005,41
4,0,x,0.16975609756097562,0.020958472863521566,0.17104499479348245,0.16975609756097562,0.108,0.2,41
4,0,y,-0.19290243902439025,0.035428254452673155,0.1961288153105554,0.19290243902439025,-0.26,-0.12,41
4,0,z,-0.07580487804878049,0.11012503304441687,0.13369331486287708,0.0924390243902439,-0.515,0.091,41
5,0,origin_time,-0.0003902439024390244,0.00276633109829421,0.002793721183078313,0.0012682926829268293,-0.013,0.003,41
5,0,x,0.006682926829268293,0.0035779747943204387,0.007580462692616218,0.006975609756097562,-0.003,0.015,41
5,0,y,-0.017609756097560974,0.009127492773525241,0.01983468260765323,0.017756097560975608,-0.041,0.003,41
5,0,z,-0.023707317073170735,0.0244562764675157,0.03406092103075627,0.025951219512195124,-0.087,0.02,41
6,0,origin_time,-0.01507317073170732,0.0033378117843036103,0.015438311546753878,0.01507317073170732,-0.024,-0.01,41
6,0,x,0.11009756097560974,0.01461673761279869,0.11106359417567717,0.11009756097560974,0.08,0.131,41
6,0,y,-0.12092682926829267,0.01893942879595877,0.12240098038823055,0.12092682926829267,-0.158,-0.079,41
6,0,z,-0.032731707317073165,0.05630536273477709,0.06512801652580374,0.05341463414634146,-0.124,0.105,41
7,0,origin_time,0.002902439024390244,0.0009319499109533074,0.003048390218923632,0.002902439024390244,0.0,0.005,41
7,0,x,0.004048780487804877,0.00263143491888023,0.00482877553534348,0.00424390243902439,-0.003,0.01,41
7,0,y,-0.010634146341463415,0.00571158897869157,0.012070928592000317,0.010926829268292684,-0.025,0.006,41
7,0,z,-0.015634146341463415,0.020614647997871445,0.02587257706341676,0.017536585365853657,-0.089,0.021,41
8,0,origin_time,-0.014756097560975612,0.002021596661961181,0.014893933942806477,0.014756097560975612,-0.021,-0.01,41
8,0,x,0.07873170731707317,0.017943032332362063,0.08075044362937868,0.07873170731707317,0.047,0.106,41
8,0,y,-0.0764390243902439,0.013754021638899204,0.07766657943398571,0.0764390243902439,-0.101,-0.049,41
8,0,z,-0.018146341463414633,0.039685077969488454,0.04363708425125606,0.03385365853658537,-0.092,0.116,41
