iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.93,4.88,iteration
2,0,1,3,4.36,5.458,iteration
2,0,1,4,5.42,6.153,iteration
2,0,1,5,9.75,6.471,iteration
2,0,1,6,18.49,6.88,iteration
2,0,1,7,23.07,7.03,iteration
2,0,1,8,26.82,7.16,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.93,5.08,iteration
4,0,1,3,4.36,5.577,iteration
4,0,1,4,5.42,6.084,iteration
4,0,1,5,9.75,6.432,iteration
4,0,1,6,18.49,6.88,iteration
4,0,1,7,23.07,7.03,iteration
4,0,1,8,26.82,7.16,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.93,5.239,iteration
6,0,1,3,4.36,5.705,iteration
6,0,1,4,5.42,6.04,iteration
6,0,1,5,9.75,6.396,iteration
6,0,1,6,18.49,6.88,iteration
6,0,1,7,23.07,7.03,iteration
6,0,1,8,26.82,7.16,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.93,5.343,iteration
8,0,1,3,4.36,5.821,iteration
8,0,1,4,5.42,6.001,iteration
8,0,1,5,9.75,6.341,iteration
8,0,1,6,18.49,6.88,iteration
8,0,1,7,23.07,7.03,iteration
8,0,1,8,26.82,7.16,iteration
8,0,1,9,45.0,8.1,iteration
