iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.0024444444444444457,0.026882919447572862,0.0269938264547038,0.013777777777777778,-0.041,0.069,0.069,9
4,0,1,-0.00022222222222222212,0.0044416657980681515,0.004447221354708778,0.0028888888888888888,-0.009,0.006,0.009,9
6,0,1,-0.00044444444444444447,0.0031308895119123046,0.0031622776601683794,0.002,-0.007,0.004,0.007,9
8,0,1,-0.0007777777777777778,0.0025288459281646762,0.0026457513110645908,0.0014444444444444446,-0.007,0.002,0.007,9
