iteration,model,layer,depth,velocity
8,1,1,-5.0,4.5
8,1,2,2.3328,4.72516
8,1,3,3.8908,5.683479999999999
8,1,4,5.222799999999999,5.92568
8,1,5,9.1888,6.182440000000001
8,1,6,19.4128,6.3191999999999995
8,1,7,22.272,6.6184
8,1,8,26.84,6.814
8,1,9,45.0,8.1
