iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,3.39,4.59,iteration
2,0,1,3,3.39,5.687,iteration
2,0,1,4,5.1,5.964,iteration
2,0,1,5,10.25,6.181,iteration
2,0,1,6,19.68,6.26,iteration
2,0,1,7,22.65,6.58,iteration
2,0,1,8,26.64,6.71,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,3.39,4.59,iteration
4,0,1,3,3.39,5.678,iteration
4,0,1,4,5.1,5.95,iteration
4,0,1,5,10.25,6.203,iteration
4,0,1,6,19.68,6.26,iteration
4,0,1,7,22.65,6.58,iteration
4,0,1,8,26.64,6.71,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,3.39,4.59,iteration
6,0,1,3,3.39,5.673,iteration
6,0,1,4,5.1,5.941,iteration
6,0,1,5,10.25,6.214,iteration
6,0,1,6,19.68,6.26,iteration
6,0,1,7,22.65,6.58,iteration
6,0,1,8,26.64,6.71,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,3.39,4.59,iteration
8,0,1,3,3.39,5.668,iteration
8,0,1,4,5.1,5.934,iteration
8,0,1,5,10.25,6.221,iteration
8,0,1,6,19.68,6.26,iteration
8,0,1,7,22.65,6.58,iteration
8,0,1,8,26.64,6.71,iteration
8,0,1,9,45.0,8.1,iteration
